date,x_world.sa,x_cn.sa,x_us.sa,x_kr.sa,x_hk.sa,ipi_us.sa,ipi_jp.sa,ipi_kr.sa,p_comm.sa,p_manuf.sa,x_uv_world.sa,x_vol_world.sa,freight_mar_cn.sa,container_index.sa,container_sg.sa,bci_cn.sa,bci_oecd.sa,cci_cn.sa,manuf_orders_nl.sa,pmi_manuf_us.sa,pmi_manuf_cn.sa
2002-01-01,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2002-02-01,-99999,-0.018771456694393285,-0.0039686086630079664,0.007965700856952695,0.0987044638230905,-4.7791079212355925e-4,0.013636363636363003,0.02358752578955725,0.01676505312868959,-99999,-0.004852247524283815,0.0053336793467388954,-99999,-99999,0.03847182725090348,0.011888125022093243,0.0035342312967998613,2.7799607682976735e-4,0.0225,0.03200000000000003,-99999
2002-03-01,-99999,-0.0042728262228026725,0.0037331514618519357,0.08388226699609502,0.03561633307713841,0.0077293838527972,0.010089686098655015,0.015776111014206284,0.12052949372967947,-99999,0.012867274326973988,0.012606652656897532,-99999,-99999,7.277334303763539e-4,0.005543433262285902,0.0030066643992128217,2.485504599782917e-4,-0.009499999999999958,0.016999999999999956,-99999
2002-04-01,-99999,0.06101812737408774,0.036352257487706874,-0.008464191048861203,-0.023839037786159922,0.002046491879843293,-0.004439511653718253,0.011047299231077501,0.048290155440414484,-99999,0.011830140732660643,0.0076209025053968205,-99999,-99999,0.00434853332195595,0.0019539044770631175,0.0016297622659866562,8.342442896203117e-5,0.0025,0,-99999
2002-05-01,-99999,-0.014121642859878603,0.003864867662790372,0.06951331240405367,-6.694788189464118e-4,0.005131203735481815,0.04124860646599826,-0.009322513681826794,0.002767892447607778,-99999,0.015617968452968478,-0.0017281937388392565,-99999,-99999,0.0010556907107079905,0.0017242516482354198,4.3867558712951116e-4,1.4604623402991734e-4,0.004499999999999957,0.007000000000000029,-99999
2002-06-01,-99999,0.038516201170753606,0.010140593310645762,-0.06945846467045136,0.01275337674100907,0.011231230345084109,-0.010706638115632106,-0.01348674184699794,-0.02247634069400628,-99999,0.020750347807100944,0.014457207718016951,-99999,-99999,0.0010899093372234159,0.003587744917435076,-5.252818373104873e-4,2.7562877932552077e-4,-4.999999999999716e-4,0.005,-99999
2002-07-01,-99999,0.051249593211043276,0.006074321105288272,0.03693718779804711,0.061322249162419684,-0.0034850431826447537,0.006493506493506773,0.03255580443345951,0.017144009681323125,-99999,0.013661583832274005,0.009537059559416416,-99999,-99999,0.009414295583362486,0.004579860617007325,-0.0013212215119058346,1.6548461976362283e-4,-0.007000000000000029,-0.03399999999999999,-99999
2002-08-01,-99999,0.01632579419914504,7.44135703292903e-4,0.08704510710468805,-0.01364442566830093,0.0024168963119055586,0.003225806451613078,0.014567827355350227,0.015863573269879083,-99999,-0.005142826881256224,-9.165714934327163e-4,-99999,-99999,-0.007670097388656205,0.0037011438290879273,-6.213509324287658e-4,1.1451243305460324e-4,0.014500000000000028,9.999999999999432e-4,-99999
2002-09-01,-99999,0.05143112770524838,-0.009024386122048922,-0.04056577505348391,0.044649560216970974,0.0011027693386300719,0.008574490889607711,-0.011206753543582804,0.054850673433535,-99999,0.005750837684981525,0.007563808888167989,-99999,-99999,0.020431274747790384,8.928332426032526e-4,1.9372268546402616e-4,2.5588818729849194e-4,-0.01700000000000003,0.0020000000000000282,-99999
2002-10-01,-99999,-0.019062583419179435,-0.00977165367758659,0.03206697469345632,-0.02003417705375421,-0.003652742474880788,0,0.006188834001304766,0.011658031088082943,-99999,-0.0026609959195508237,0.004412437613467324,-99999,-99999,-0.019733282096523697,-0.002158969846292269,3.276248398977888e-4,6.081793592613849e-4,-0.0034999999999999433,-0.015,-99999
2002-11-01,-99999,0.03121882078904248,0.012899114800399403,0.03094132643489811,0.00883682483329018,0.004599141465700063,-0.0042507970244500815,0.0091335198325213085,-0.04847265410645685,-99999,0.006492205509941673,0.009150529721725587,-99999,-99999,0.026902559772501,-0.006057555173817453,1.9054165493992414e-4,9.338745449993802e-4,0.005499999999999972,-0.005,-99999
2002-12-01,-99999,-0.023861836791051916,-0.034446994814247955,-0.0055442818514858105,-0.007536853034636581,-0.0051038841370405486,-0.00106723585912194,0.019313383513860805,0.09304113802383696,-99999,0.01478000452469952,-0.02212113269710092,-99999,-99999,-0.028590334628378344,-0.01063144120232995,-2.6466511019951344e-4,8.282748951664587e-4,0.006000000000000014,0.031000000000000014,-99999
2003-01-01,-99999,0.14436533368810078,0.022521967282396194,0.018264364035787795,0.04562346496288283,0.007164512743015994,0.013888888888890394,-0.025125175606065975,0.07843826943369692,-99999,0.03108323347831221,0.023350109344097092,-99999,-99999,0.0140855776741724,-0.01096204426432923,-0.001530738294009737,-1.6516616057604683e-4,-0.008000000000000042,-0.0030000000000000426,-99999
2003-02-01,-99999,-0.06174536691036525,0.013398085003788696,-0.028641306242048192,-0.03790854462627713,-8.988049530901376e-4,-0.00428265524625715,0.00190293199327507,0.11056751467710368,-99999,0.011324870539908938,-0.0014218332437841985,-99999,-99999,0.02960419539695125,-0.005013887586898358,-0.0019751146568501854,-0.0037714046285731717,-0.009499999999999958,-0.025,-99999
