date,x_servs_world.sa,x_servs_oecd.sa,x_servs_us.sa,x_servs_uk2.sa,is_jp.sa,x_uv_world.sa,x_vol_world.sa,x_cn.sa,x_oecd.sa,ipi_oecd.sa,rti_val_us.sa,freight_mar_cn.sa,container_index.sa,container_total_la.sa,container_sg.sa,tourists_world,tourists_es.sa,tourists_it.sa,bci_servs_eu.sa,pmi_nm_us.sa,pmi_nm_cn2.sa,rti_cn
2002-01-01,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,7.9
2002-02-01,-99999,-99999,0.011787207543812794,-0.014088082243939537,-99999,-0.004852247524283815,0.0053336793467388954,-0.018771456694393285,2.1858380966444102e-4,0.008581904734519918,0.005051056626439676,-99999,-99999,0.16022619224910817,0.03847182725090348,-99999,0.01312695522147811,0.005364910602211781,-0.006999999999999958,0.03800000000000004,-99999,9.1
2002-03-01,-99999,-99999,0.02769595990680096,-0.006179196704428458,-99999,0.012867274326973988,0.012606652656897532,-0.0042728262228026725,0.02390456426518739,0.004940772310616737,-0.0024177555621958113,-99999,-99999,-0.03717875475526855,7.277334303763539e-4,-99999,-0.006689492806269626,-0.003773051514205261,0.014499999999999957,9.999999999999432e-4,-99999,8.3
2002-04-01,-99999,-99999,-0.008170423920947911,0.007383419689119153,-99999,0.011830140732660643,0.0076209025053968205,0.06101812737408774,0.014306631528489655,0.004462519847201918,0.016622966380604343,-99999,-99999,-0.04229895294379071,0.00434853332195595,-99999,0.0033137709372674795,0.019078484593348044,0.02,0.007000000000000029,-99999,8.2
2002-05-01,-99999,-99999,0.013499525575778382,0.0240452616690241,-99999,0.015617968452968478,-0.0017281937388392565,-0.014121642859878603,0.029030427756802757,0.00512021423158493,-0.014227385612660681,-99999,-99999,0.05841085407343716,0.0010556907107079905,-99999,-0.006551335298373484,6.559145601303662e-5,-0.007999999999999972,0.012999999999999972,-99999,9.3
2002-06-01,-99999,-99999,-1.2766500702154904e-4,0.03930185836263189,-99999,0.020750347807100944,0.014457207718016951,0.038516201170753606,0.028869578621407266,2.2451927816602435e-4,0.008563365410369839,-99999,-99999,0.058121657354931466,0.0010899093372234159,-99999,-0.008147046486136067,-0.024480648881131883,-0.011499999999999986,-0.022999999999999972,-99999,8.6
2002-07-01,-99999,-99999,-0.001702417432754566,0.040231968104385674,-99999,0.013661583832274005,0.009537059559416416,0.051249593211043276,0.01668211885017601,0.00227948824051305,0.011531281873640165,-99999,-99999,-0.1065287830012035,0.009414295583362486,-99999,0.008042535586739064,0.028563779355228025,-0.008000000000000042,-0.021000000000000015,-99999,8.6
2002-08-01,-99999,-99999,0.014623124147339794,0.025319396051103338,-99999,-0.005142826881256224,-9.165714934327163e-4,0.01632579419914504,-0.0024009785592173927,0.0048628404271031656,0.008275909303644857,-99999,-99999,0.1608862478707367,-0.007670097388656205,-99999,-0.0030438902373889354,-0.005514626096579711,-0.026499999999999985,0.005,-99999,8.8
2002-09-01,-99999,-99999,-0.012773645951510537,0.002378794743996382,-99999,0.005750837684981525,0.007563808888167989,0.05143112770524838,0.007524267386538108,9.12384282922396e-4,-0.016385771323768394,-99999,-99999,0.007940682446916147,0.020431274747790384,-99999,0.009352967481027097,0.006575164984069737,0.011000000000000015,0.013999999999999986,-99999,9.1
2002-10-01,-99999,-99999,0.0040859757395190766,-0.009153576675330566,-99999,-0.0026609959195508237,0.004412437613467324,-0.019062583419179435,-0.006805775515245083,-0.0027956379446569812,0.005290741394392562,-99999,-99999,-0.25787393802923153,-0.019733282096523697,-99999,-9.192739533714356e-5,-0.01480135519256287,-0.014500000000000028,-0.008999999999999985,-99999,9.4
2002-11-01,-99999,-99999,0.0060192446271882805,-0.0037636861313868897,-99999,0.006492205509941673,0.009150529721725587,0.03121882078904248,0.02645204771698051,0.004377097781506745,0.0058620808096998545,-99999,-99999,0.29681112370016094,0.026902559772501,-99999,0.004935713889897997,0.004309837437688202,0.0015000000000000568,0.015,-99999,9.1
2002-12-01,-99999,-99999,0.0030758858972739223,0.012707498568975462,-99999,0.01478000452469952,-0.02212113269710092,-0.023861836791051916,-0.0014725694621678942,-0.0051278735822201105,0.008483868887041446,-99999,-99999,0.11085890833125056,-0.028590334628378344,-99999,-0.006141567622703459,-0.012664723434406944,-0.0030000000000000426,-0.006000000000000014,-99999,9.2
2003-01-01,-99999,-99999,-0.016172393514240158,0.02159167985530175,-99999,0.03108323347831221,0.023350109344097092,0.14436533368810078,0.03829731258525304,0.005735066753481677,0.00560206173931177,-99999,-99999,-0.0738266912542811,0.0140855776741724,-99999,0.013398364757712722,0.002977227527912296,0.005,0.01,-99999,10
2003-02-01,-99999,-99999,-0.0011955083045130932,0.01681974106451256,-99999,0.011324870539908938,-0.0014218332437841985,-0.06174536691036525,0.007516142773872803,-0.0020905275485227914,-0.015245955612757212,-99999,-99999,0.13417966875825393,0.02960419539695125,-99999,-0.016466320157293768,-0.008703346004548806,-0.006000000000000014,-0.006999999999999958,-99999,8.5
2003-03-01,-99999,-99999,-0.012268627367161167,0.003917727717923647,-99999,0.0017460268779079247,-0.005692389842621992,0.044690189661468205,-0.003865478141096612,0.0025277048411218583,0.01762097800607032,-99999,-99999,-0.04912055255656467,0.013707413168975613,-99999,0.004369541132317467,0.002829932405073121,-0.011499999999999986,-0.035,-99999,9.3
