"code","download_group","status"
"bci_de.sa","9","Took 0.04 minutes for 2020-06-01"
"bci_jp.sa","9","Took 0.04 minutes for 2020-06-01"
"bci_uk.sa","9","Took 0.04 minutes for 2020-06-01"
"bci_nl.sa","9","Took 0.04 minutes for 2020-06-01"
"bci_oecd.sa","9","Took 0.04 minutes for 2020-06-01"
"manuf_orders_us.sa","10","Took 0.03 minutes for 2020-06-01"
"manuf_orders_de.sa","10","Took 0.03 minutes for 2020-06-01"
"manuf_orders_uk.sa","10","Took 0.03 minutes for 2020-06-01"
"manuf_orders_nl.sa","10","Took 0.03 minutes for 2020-06-01"
"x_servs_de","11","Took 0.07 minutes for 2020-06-01"
"x_servs_fr","11","Took 0.07 minutes for 2020-06-01"
"x_servs_ie","12","Took 0.08 minutes for 2020-06-01"
"x_servs_nl","12","Took 0.08 minutes for 2020-06-01"
"x_servs_uk","12","Took 0.08 minutes for 2020-06-01"
"mar_freight_de","13","Took 0.03 minutes for 2020-06-01"
"mar_freight_nl","13","Took 0.03 minutes for 2020-06-01"
"ipi_eu27.sa","14","Took 0.04 minutes for 2020-06-01"
"is_fr.sa","15","Took 0.04 minutes for 2020-06-01"
"tourists_de","16","Took 0.07 minutes for 2020-06-01"
"tourists_es","16","Took 0.07 minutes for 2020-06-01"
"tourists_fr","16","Took 0.07 minutes for 2020-06-01"
"tourists_it","16","Took 0.07 minutes for 2020-06-01"
"tourists_uk","16","Took 0.07 minutes for 2020-06-01"
"x_servs_us.sa","17","Took 0.01 minutes for 2020-06-01"
"manuf_orders_us_2.sa","18","Took 0.02 minutes for 2020-06-01"
"x_servs_cn","19","Took 0.01 minutes for 2020-06-01"
"x_servs_sg","19","Took 0.01 minutes for 2020-06-01"
"x_cn_2","20","Took 0.28 minutes for 2020-06-01"
"constr_cn","21","Took 0.15 minutes for 2020-06-01"
"freight_mar_cn","22","Took 0.21 minutes for 2020-06-01"
"freight_mar_cn","22b","Not run"
"ipi_cn","23","Took 0.04 minutes for 2020-06-01"
"rti_cn","24","Took 0.17 minutes for 2020-06-01"
"pmi_manuf_cn.sa","25","Took 0.1 minutes for 2020-06-01"
"export_orders_cn.sa","26","Took 0.28 minutes for 2020-06-01"
"pmi_nm_cn2.sa","27","Took 0.12 minutes for 2020-06-01"
"x_hk","28","Took 0.07 minutes for 2020-06-01"
"x_servs_jp","29","Took 0.05 minutes for 2020-06-01"
"ind_orders_ez.sa","30","Took 0.02 minutes for 2020-06-01"
"p_manuf","31","Took 0.01 minutes for 2020-06-01"
"x_world","32","Took 0.01 minutes for 2020-06-01"
"x_vol_world.sa","33","Took 0.01 minutes for 2020-06-01"
"x_vol_us.sa","33","Took 0.01 minutes for 2020-06-01"
"x_vol_jp.sa","33","Took 0.01 minutes for 2020-06-01"
"x_vol_ez.sa","33","Took 0.01 minutes for 2020-06-01"
"x_vol_cn.sa","33","Took 0.01 minutes for 2020-06-01"
"x_vol_ema.sa","33","Took 0.01 minutes for 2020-06-01"
"x_vol_cis.sa","33","Took 0.01 minutes for 2020-06-01"
"x_vol_lac.sa","33","Took 0.01 minutes for 2020-06-01"
"x_vol_afr.sa","33","Took 0.01 minutes for 2020-06-01"
"x_uv_world.sa","33","Took 0.01 minutes for 2020-06-01"
"tourists_mx","34","Took 0.02 minutes for 2020-06-01"
"bci_servs_eu.sa","35","Took 0.02 minutes for 2020-06-01"
"container_index.sa","36","Took 0.01 minutes for 2020-06-01"
"is_jp.sa","37","Took 0.03 minutes for 2020-06-01"
"is_uk.sa","38","Took 0.01 minutes for 2020-06-01"
"is_br.sa","39","Took 0.04 minutes for 2020-06-01"
"tourists_tk","40","Took 0.02 minutes for 2020-06-01"
"container_sg","41","Took 0.04 minutes for 2020-06-01"
"air_freight_total_lhr","42","Took 0.01 minutes for 2020-06-01"
"air_freight_intl_lhr","42","Took 0.01 minutes for 2020-06-01"
"air_freight_hkg","43","Took 0.02 minutes for 2020-06-01"
"p_comm","44","Took 0.01 minutes for 2020-06-01"
"x_vol_world2","45","Took 0.01 minutes for 2020-06-01"
"x_servs_uk2.sa","46","Took 0 minutes for 2020-06-01"
"fdi_cn","46","Took 0 minutes for 2020-06-01"
"fdi_in","46","Took 0 minutes for 2020-06-01"
"baltic","46","Took 0 minutes for 2020-06-01"
"harpex","46","Took 0 minutes for 2020-06-01"
"pmi_manuf_us.sa","46","Took 0 minutes for 2020-06-01"
"pmi_nm_us.sa","46","Took 0 minutes for 2020-06-01"
"pmi_nm_cn.sa","46","Took 0 minutes for 2020-06-01"
"tourists_th","46","Took 0 minutes for 2020-06-01"
"tourists_us","47","Took 0 minutes for 2020-06-01"
"tourists_neasia","47","Took 0 minutes for 2020-06-01"
"tourists_seasia","47","Took 0 minutes for 2020-06-01"
"tourists_world","47","Took 0 minutes for 2020-06-01"
"container_hk","48","Took 0.11 minutes for 2020-06-01"
"transit_pa_canal","49","Took 1.09 minutes for 2020-06-01"
"transit_suez_canal","50","Took 1.19 minutes for 2020-06-01"
"air_freight_mem","51","Took 0.06 minutes for 2020-06-01"
"container_exports_la","52","Took 0.02 minutes for 2020-06-01"
"container_total_la","52","Took 0.02 minutes for 2020-06-01"
"x_servs_world","53","Took 0 minutes for 2020-06-01"
