"code","download_group","status"
"x_cn.sa","1","Took 0.06 minutes for 2020-06-01"
"x_us.sa","1","Took 0.06 minutes for 2020-06-01"
"x_de.sa","1","Took 0.06 minutes for 2020-06-01"
"x_jp.sa","1","Took 0.06 minutes for 2020-06-01"
"x_nl.sa","1","Took 0.06 minutes for 2020-06-01"
"x_kr.sa","1","Took 0.06 minutes for 2020-06-01"
"x_fr.sa","1","Took 0.06 minutes for 2020-06-01"
"x_it.sa","1","Took 0.06 minutes for 2020-06-01"
"x_uk.sa","1","Took 0.06 minutes for 2020-06-01"
"x_in.sa","1","Took 0.06 minutes for 2020-06-01"
"x_oecd.sa","1","Took 0.06 minutes for 2020-06-01"
"x_briics.sa","1","Took 0.06 minutes for 2020-06-01"
"ipi_us.sa","2","Took 0.05 minutes for 2020-06-01"
"ipi_jp.sa","2","Took 0.05 minutes for 2020-06-01"
"ipi_de.sa","2","Took 0.05 minutes for 2020-06-01"
"ipi_kr.sa","2","Took 0.05 minutes for 2020-06-01"
"ipi_it.sa","2","Took 0.05 minutes for 2020-06-01"
"ipi_fr.sa","2","Took 0.05 minutes for 2020-06-01"
"ipi_uk.sa","2","Took 0.05 minutes for 2020-06-01"
"ipi_mx.sa","2","Took 0.05 minutes for 2020-06-01"
"ipi_oecd.sa","2","Took 0.05 minutes for 2020-06-01"
"rti_val_us.sa","3","Took 0.04 minutes for 2020-06-01"
"rti_val_jp.sa","3","Took 0.04 minutes for 2020-06-01"
"rti_val_de.sa","3","Took 0.04 minutes for 2020-06-01"
"rti_val_uk.sa","3","Took 0.04 minutes for 2020-06-01"
"rti_val_fr.sa","3","Took 0.04 minutes for 2020-06-01"
"rti_val_it.sa","3","Took 0.04 minutes for 2020-06-01"
"rti_val_ca.sa","3","Took 0.04 minutes for 2020-06-01"
"rti_vol_us.sa","4","Took 0.05 minutes for 2020-06-01"
"rti_vol_jp.sa","4","Took 0.05 minutes for 2020-06-01"
"rti_vol_de.sa","4","Took 0.05 minutes for 2020-06-01"
"rti_vol_uk.sa","4","Took 0.05 minutes for 2020-06-01"
"rti_vol_fr.sa","4","Took 0.05 minutes for 2020-06-01"
"rti_vol_it.sa","4","Took 0.05 minutes for 2020-06-01"
"rti_vol_br.sa","4","Took 0.05 minutes for 2020-06-01"
"rti_vol_ca.sa","4","Took 0.05 minutes for 2020-06-01"
"rti_vol_oecd.sa","4","Took 0.05 minutes for 2020-06-01"
"constr_us.sa","5","Took 0.02 minutes for 2020-06-01"
"constr_oecd.sa","5","Took 0.02 minutes for 2020-06-01"
"x_servs_oecd.sa","6","Took 0.01 minutes for 2020-06-01"
"fdi_world","7","Took 0.01 minutes for 2020-06-01"
"fdi_oecd","7","Took 0.01 minutes for 2020-06-01"
"cci_us.sa","8","Took 0.04 minutes for 2020-06-01"
"cci_cn.sa","8","Took 0.04 minutes for 2020-06-01"
"cci_de.sa","8","Took 0.04 minutes for 2020-06-01"
"cci_jp.sa","8","Took 0.04 minutes for 2020-06-01"
"cci_uk.sa","8","Took 0.04 minutes for 2020-06-01"
"cci_oecd.sa","8","Took 0.04 minutes for 2020-06-01"
"bci_us.sa","9","Took 0.04 minutes for 2020-06-01"
"bci_cn.sa","9","Took 0.04 minutes for 2020-06-01"
