date,rti_val_us.sa,rti_val_jp.sa,rti_val_de.sa,rti_val_uk.sa,rti_val_fr.sa,rti_val_it.sa,rti_val_ca.sa,rti_vol_us.sa,rti_vol_jp.sa,rti_vol_de.sa,rti_vol_uk.sa,rti_vol_fr.sa,rti_vol_it.sa,rti_vol_br.sa,rti_vol_ca.sa,rti_vol_oecd.sa,constr_us.sa,constr_oecd.sa,x_servs_oecd.sa,fdi_world.sa,fdi_oecd.sa,cci_us.sa,cci_cn.sa,cci_de.sa,cci_jp.sa,cci_uk.sa,cci_oecd.sa,bci_us.sa,bci_cn.sa,bci_de.sa,bci_jp.sa,bci_uk.sa,bci_nl.sa,bci_oecd.sa,manuf_orders_us.sa,manuf_orders_de.sa,manuf_orders_uk.sa,manuf_orders_nl.sa,x_servs_de.sa,x_servs_fr.sa,x_servs_ie.sa,x_servs_nl.sa,x_servs_uk.sa,mar_freight_de.sa,mar_freight_nl.sa,ipi_eu27.sa,is_fr.sa,tourists_de.sa,tourists_es.sa,tourists_fr.sa,tourists_it.sa,tourists_uk.sa,x_servs_us.sa,manuf_orders_us_2.sa,x_servs_cn.sa,x_servs_sg.sa,x_cn_2.sa,constr_cn,freight_mar_cn.sa,ipi_cn,rti_cn,pmi_manuf_cn.sa,export_orders_cn.sa,pmi_nm_cn2.sa,x_hk.sa,x_servs_jp.sa,ind_orders_ez.sa,p_manuf.sa,tourists_mx.sa,bci_servs_eu.sa,container_index.sa,is_jp.sa,is_uk.sa,is_br.sa,container_sg.sa,air_freight_total_lhr.sa,air_freight_intl_lhr.sa,air_freight_hkg.sa,p_comm.sa,x_vol_world2.sa,tourists_us,tourists_neasia,tourists_seasia,tourists_world,container_hk.sa,transit_pa_canal.sa,transit_suez_canal.sa,air_freight_mem.sa,container_exports_la.sa,container_total_la.sa,x_servs_world.sa,x_world.sa,x_cn.sa,x_us.sa,x_de.sa,x_jp.sa,x_nl.sa,x_kr.sa,x_fr.sa,x_it.sa,x_uk.sa,x_in.sa,x_oecd.sa,x_briics.sa,ipi_us.sa,ipi_jp.sa,ipi_de.sa,ipi_kr.sa,ipi_it.sa,ipi_fr.sa,ipi_uk.sa,ipi_mx.sa,ipi_oecd.sa
2002-01-01,65.0090532645529,94.0156692782131,86.6,68.586162440911,68.3943004749604,88.7926006166153,60.7936422105354,86.7093459628842,96.4263274648339,94.307858988249,75.8620689655172,71.494042163153,112,52.0602839968638,70.8308727434688,84.1971686200123,80.0083597146409,89.1710918023655,NA,NA,NA,100.470315367772,101.022874060876,98.7348297926205,98.2545869936968,101.622759157656,100.432008665015,99.2273899704084,99.7915333250771,98.4400454209176,97.6640933868694,98.3157247997794,99.7182974308414,98.9151607008397,-11,-34.9,-36,-17.9,8399.76058313249,NA,NA,NA,NA,NA,NA,89.1,NA,1444889.3588303,2993018.7930085,NA,2808727.00787112,1252574.04117266,22482,301973,NA,NA,23476976.3069269,NA,NA,NA,7.9,NA,NA,NA,112910.931569369,6800.83905223358,78.34,NA,1586.17266548687,1.1,NA,NA,72.6,NA,1349.53040645173,NA,NA,173375.66781171,42,NA,NA,NA,NA,NA,1412.39245012322,990.633258785332,NA,NA,194303.782847079,445159.559396908,NA,NA,24.8508133639267,55.939,45.7146290797355,30.7891039156626,18.272487826797,11.9282701745656,25.3657201756162,19.6809834538516,22.0799225511411,4.19098096678361,355.368437020218,47.1807842385004,92.1577438856217,94.1948080535405,79.8128342245989,50.408,122.989750854095,110.999075007708,100.350877192982,81.1521426641973,84.633203336278
2002-02-01,65.3374176738234,92.4154025670945,86.3,69.1018478727976,70.2941421548204,88.5926172818932,59.89713732634,87.0004422741382,95.2736108939119,94.1078423201934,76.9070010449321,73.5938671777352,111.5,51.9557452739786,70.0191616240875,84.5675075546565,80.3516304583732,89.9711005702408,NA,NA,NA,100.674047527747,101.050958023535,98.6360502329162,98.4442470459309,101.69836539144,100.579156730104,99.8277518193044,100.977867549392,98.6289771348646,97.7021423021354,98.650353265739,99.8580656866885,99.2647497575166,6,-34.7,-34.2,-13.4,8648.44479745752,NA,NA,NA,NA,NA,NA,89.8,NA,1454755.9366623,3032302.72948764,NA,2938288.47182689,1211944.72209859,22747,307413,NA,NA,25251134.6228096,NA,NA,2.7,9.1,NA,NA,NA,124066.213188845,6783.08193798895,78.97,NA,1518.19152677667,-0.3,NA,NA,72.5,NA,1402.76610082825,NA,NA,173535.678194281,43,NA,NA,NA,NA,NA,1462.57178258807,967.089404091899,NA,NA,230890.255961477,516485.878268646,NA,NA,24.3843273970453,55.717,45.9777259774355,31.0830392267056,18.4663695073727,12.0232872065171,25.1938637090417,19.548191183583,22.1562736162324,3.58393121940627,355.445858132133,46.0704160378701,92.113700705241,95.479282708816,80.2139037433155,51.597,125.489542538122,111.93906717444,101.353383458647,80.6605125442329,85.3595174246872
2002-03-01,65.179447768823,92.9154859143191,86.6,69.8238074774388,70.2941421548204,88.9925839513374,59.8206035955834,86.5469869569923,95.5920636978591,94.2078506542212,77.4294670846395,73.3938838430131,111.8,52.0602839968638,69.6938329611609,84.5478139756576,78.6942589277633,88.6326730243165,NA,NA,NA,100.858262591735,101.076074285633,98.6023587589778,98.6073156257373,101.749312912295,100.70902634865,100.231038074029,101.53763161912,98.8402573144557,97.8116850662179,99.0196106440104,99.9257219133956,99.5632055467093,25,-36.5,-32.3,-15.3,8403.64830516711,NA,7573.22971011813,NA,38029.328017695,57255.7886046054,101560.188429343,90.5,NA,1455398.11164075,3012013.88431931,NA,3001011.52236615,1506705.58330855,23377,305162,NA,6689.23043819808,24702361.4654159,2340.7400000000002,NA,10.9,8.3,NA,NA,NA,128472.994080308,6664.12617928978,80.02,NA,1913.07409219251,2.6,NA,NA,73.5,NA,1403.39482729703,NA,NA,183326.238478758,48,NA,NA,NA,NA,NA,1504.87055076987,995.299659619637,NA,NA,221494.91897599,497283.356964982,NA,NA,24.2801374035178,55.925,47.4382750749315,32.5336101798232,18.7873480125661,13.0318277941449,25.5388854711201,19.4554976705609,22.6025349184082,3.62058686570763,363.943024078331,47.3856798809946,92.8256828560935,96.4426387002727,80.4144385026738,52.411,126.28947587701,112.249064591128,102.155388471178,81.7802658290522,85.7812593648267
2002-04-01,66.2629235377905,92.8154692448742,87.6,70.5457670820799,70.3941338221815,89.2925589534205,61.162661580382,87.5930805809063,95.1953530716658,95.3079423285274,78.6833855799373,73.293892175652,111.5,52.0602839968638,69.9632320339714,84.9787004628118,79.9697836864364,89.2778640484627,NA,NA,NA,100.910153596678,101.084506499412,98.5938317324734,98.7049043504094,101.774372757612,100.75600756733,100.388528240019,101.736026452131,99.0168984290987,98.0194866060119,99.3899555091728,99.9340896761536,99.72546990219,12,-34.7,-27.8,-14.8,8723.72548954588,NA,NA,NA,NA,NA,NA,89.9,NA,1497138.67800849,3022013.96437437,NA,3102863.87024177,1482105.08241608,23186,311737,NA,NA,25795072.4820782,2122.19,NA,12.1,8.2,NA,NA,NA,125435.040146129,7177.5395535211,79.72,NA,2013.48297565496,6.6,NA,NA,72.2,NA,1406.05221773526,NA,NA,181057.833549378,50,NA,NA,NA,NA,NA,1585.53331951353,1010.00221673458,NA,NA,230049.661420262,476249.176061015,NA,NA,25.761665920266,57.958,47.7835323062061,32.7973430656935,18.6735562709866,12.9215239139794,26.9510409041122,19.3139830152919,22.2781162825869,4.14552130171292,369.149097708401,50.8260892591614,93.0156498622994,96.0144804818475,80.6149732620321,52.99,121.889842513124,112.879059341172,101.052631578947,81.7031253100939,86.1640599372602
2002-05-01,65.3201753727961,93.3155525920987,86.9,69.9269445638161,71.6940254978752,89.4925422881426,60.0348186560532,86.2506518458719,95.4146754520436,94.7078923243604,78.1609195402299,74.4937921839847,111.6,52.0602839968638,69.4206271623216,84.5711513097672,79.2891124641333,88.7863477332581,NA,NA,NA,100.884521962169,101.099269510905,98.6056238937762,98.6976507722653,101.714231689802,100.74666596691,100.399779954,101.911444963426,99.1201394140924,98.2697665507844,99.6462035581389,99.9149339317396,99.7692170312511,13,-32.4,-25.6,-13.9,8303.7529809348,NA,NA,NA,NA,NA,NA,90,NA,1454817.69935499,3002163.01425651,NA,3252322.56169942,1405501.78227431,23499,315503,NA,NA,25380343.3437189,1217.04,NA,12.9,9.3,NA,NA,NA,125329.19966663,6931.09771359209,80.73,NA,1616.37483548064,5,NA,NA,73.4,NA,1407.68559646574,NA,NA,210892.496867303,50,NA,NA,NA,NA,NA,1514.30294882337,995.169334146585,NA,NA,237923.269668178,504067.330780404,NA,NA,25.3978688746645,58.182,47.2264626944179,34.3551409201967,19.663484074505,13.8197418425483,27.1421802994433,20.6346348132366,24.9291796285116,4.07930388310956,379.866563163754,49.134726345575,93.4929321123311,99.9749440022805,79.8128342245989,52.496,126.589450879093,111.25907284106,101.854636591479,80.7430720088163,86.6052383832021
2002-06-01,65.8795359031828,92.6154359059844,85.5,68.7924366136656,71.1940671610699,89.5925339555037,61.4181617669492,86.9408127013623,94.795737877159,93.707808984082,77.115987460815,73.9938338471794,111.9,51.1194354908964,70.4985162786428,84.5437814141848,78.9016749634713,88.6663002040239,NA,NA,NA,100.637899421453,101.127135379151,98.6594547273558,98.6268399805649,101.657388907352,100.633918670087,100.229139653443,102.277077232122,99.1257104655208,98.4955694296191,99.8267367542062,99.8855634891393,99.7168100736219,7,-33.8,-14.5,-14,8731.54514455491,NA,7959.91044711583,NA,39205.4166700067,58122.8006165295,102848.553868098,90.7,NA,1500731.55661984,2977777.2213147,NA,2980353.38929396,1548934.83013282,23496,309128,NA,6770,26469478.44723,2544.74,NA,12.4,8.6,NA,NA,NA,126942.960215401,7243.67512051688,80.27,NA,1523.25241742103,2.7,NA,NA,73.7,NA,1412.38117473527,NA,NA,223521.33117082,49,NA,NA,NA,NA,NA,1609.60368529441,992.162993914647,NA,NA,238287.307944119,533364.369152283,NA,NA,26.3760983015495,58.772,53.3751434772222,35.7811772341893,20.7329909920151,12.8598437920229,28.0320896897147,21.5763756515826,23.156688916427,4.18899603002303,390.832826315501,50.2445110872756,94.542972768522,98.9045484562175,81.8181818181818,51.788,125.089575868678,111.159073674386,96.3408521303258,81.1630413055029,86.6246829288093
2002-07-01,66.639211401387,91.4152358726454,86.9,70.1332187365707,71.7940171652362,89.7925172902258,61.0778221834881,87.7479220484586,93.9519382041577,95.2079339944996,78.5788923719958,74.5937838513457,112.3,51.746667828208,70.1037880719595,85.1469930771478,78.9344739053262,88.3486364825927,NA,NA,NA,100.307716526239,101.143870364697,98.6895723337936,98.5323030176997,101.685837453147,100.47706777695,99.8624897486569,102.74549199016,99.0718847261029,98.6476564638825,99.8975329785519,99.8679867539602,99.585062079054,-9,-34.1,-21.6,-15.4,8721.67886902609,NA,NA,NA,NA,NA,NA,89.9,NA,1502916.39316756,3001684.16581826,NA,3039230.86904957,1612533.76110936,23456,310741,NA,NA,27617352.9774577,2203.1399999999994,NA,12.8,8.6,NA,NA,NA,134715.563984276,6897.33357313304,80.32,NA,1515.93277011458,1.1,NA,NA,73.8,NA,1424.15663060131,NA,NA,205065.79739345,50,NA,NA,NA,NA,NA,1635.53715861627,994.752105308497,NA,NA,212972.637933146,476545.599178077,NA,NA,27.7278626099984,59.129,52.4500784324396,36.7179427855657,21.274671334825,13.3348502572224,28.5801754713506,22.0375022289831,25.1322830911796,4.58480193260996,397.352757773673,53.8621605677828,94.2134864258081,99.5467857838553,80.4144385026738,53.474,124.489625864511,109.979083507637,100.451127819549,81.2551589742971,86.8221428748837
2002-08-01,67.1907114710113,92.9154859143191,86.4,69.8238074774388,72.0939921673194,89.7925172902258,61.4143875070609,88.2290352394719,95.200292944999,94.7078923243604,78.4743991640543,74.6937755187068,112.1,52.1648227197491,70.218282677904,85.6032546893784,78.1777687723593,88.2711923114704,NA,NA,NA,100.035613413992,101,15545259538101,98.6422885462257,98.4338725062584,101.783434924973,100.332057402145,99.6038880879165,103.125767833806,99.0322939950728,98.7478744256275,99.874409838772,99.9057672827223,99.5231848078752,-10,-35.4,-19.6,-12.5,9219.28676868357,NA,NA,NA,NA,NA,NA,90.7,NA,1515107.81353298,2992515.38385572,NA,3079052.29080795,1503905.3147901,23799,318793,NA,NA,28350367.4556439,1740.2000000000007,NA,12.7,8.8,NA,NA,NA,132879.816895925,6767.64537314969,80.88,NA,1589.42357253511,-4.2,NA,NA,74.5,NA,1414.18419549415,NA,NA,229103.532378885,51,NA,NA,NA,NA,NA,1648.30832669161,988.698106185393,NA,NA,240915.46713174,553215.185705531,NA,NA,28.1805419885514,59.173,54.5627516786913,35.327296274082,21.0114409698247,14.4955837260873,29.1784546230247,21.9647237921436,22.9560663799379,4.57445467247572,396.397574797588,54.4880896637575,94.4411906536824,99.8679044476742,82.1189839572192,54.253,123.189734188818,112.609061591153,101.353383458647,81.5785421394679,87.2443451012234
2002-09-01,66.089739837766,92.8154692448742,87.2,69.9269445638161,72.2939755020415,89.8925089575869,61.0770673315105,86.6393355482732,95.0978168492563,95.6079673306109,78.3699059561128,74.5937838513457,111.8,51.6421291053228,69.8835836124448,84.9234675096136,77.5372576180662,88.55743166952,NA,NA,NA,99.797569230749,101.181337080781,98.4969833072454,98.3365644499376,101.889939414138,100.19215033944,99.476224267266,103.217841947497,99.0508816547907,98.8213800615472,99.7421358777159,99.8688474167617,99.5424647065021,-11,-35.6,-22.5,-15.9,8688.9892162402,NA,8178.7403223607,NA,40301.4704815387,59441.8397610493,101888.159754775,90.7,NA,1493983.03203061,3020577.25898094,NA,3079855.39720307,1512491.39181397,23495,311141,NA,7183.51220576939,29607955.728308,2229.2000000000007,NA,13.8,9.1,NA,NA,NA,138819.255993505,6603.25969064885,80.25,NA,1495.98942963017,-2,NA,NA,75.2,NA,1444.71857511706,NA,NA,205215.088584775,54,NA,NA,NA,NA,NA,1761.79184746939,993.157495732007,NA,NA,248400.80646664,557608.512427861,NA,NA,29.6298990423677,58.639,54.5560245048654,36.2323613793104,21.5038208654199,13.9075591373859,28.6737894242878,22.3233075329062,24.1033689483563,4.45613041568069,399.382500909016,56.7444260301358,94.545337503039,100.724220884525,81.2165775401069,53.645,125.389550870761,110.639078007683,100.551378446115,81.3249502677382,87.3239454704676
2002-10-01,66.4394035600703,91.91531921987,87,70.236355822948,72.4939588367636,91.0924089659195,62.09023240919,86.9054531655474,94.3689109033573,95.4079506625552,78.7878787878788,74.6937755187068,112.9,52.0602839968638,70.6203315115658,85.0867208014606,78.2413167222034,88.3975794197354,NA,NA,NA,99.6178594907645,101.242873481536,98.108900523109,98.2396535830287,101.819908930529,100.031701014909,99.4168217089809,102.994997739133,99.0842338276597,98.8807335894457,99.6794050496704,99.8162441793982,99.5750772905646,-13,-33.1,-29.5,-16.6,9004.4300089793,NA,NA,NA,NA,NA,NA,90.1,NA,1470909.4346133,3020267.07980949,NA,3097131.43556964,1604843.58534228,23591,315095,NA,NA,29162012.2077903,2028.9599999999991,NA,14.2,9.4,NA,NA,NA,136027.061656358,6884.36955615678,79.01,NA,1555.67236953375,-4.9,NA,NA,75.6,NA,1414.50127188542,NA,NA,190650.049314612,54,NA,NA,NA,NA,NA,1669.56503060244,955.590616145801,NA,NA,190057.076792192,413815.584899393,NA,NA,29.0650766201707,58.066,53.8219910370769,35.7932829222078,21.3259409331873,14.3535324842922,28.5619575644762,22.469126117708,23.1709011646043,4.68000300229284,396.663278240215,56.9687714393564,94.1999877329397,100.724220884525,80.3141711229946,53.977,123.889675860345,109.719085674286,99.3483709273183,81.8605223667449,87.0798193350332
