date,x_cn.sa,x_us.sa,x_de.sa,x_jp.sa,x_nl.sa,x_kr.sa,x_fr.sa,x_it.sa,x_uk.sa,x_in.sa,x_oecd.sa,x_briics.sa,ipi_us.sa,ipi_jp.sa,ipi_de.sa,ipi_kr.sa,ipi_it.sa,ipi_fr.sa,ipi_uk.sa,ipi_mx.sa,ipi_oecd.sa,rti_val_us.sa,rti_val_jp.sa,rti_val_de.sa,rti_val_uk.sa,rti_val_fr.sa,rti_val_it.sa,rti_val_ca.sa,rti_vol_us.sa,rti_vol_jp.sa,rti_vol_de.sa,rti_vol_uk.sa,rti_vol_fr.sa,rti_vol_it.sa,rti_vol_br.sa,rti_vol_ca.sa,rti_vol_oecd.sa,constr_us.sa,constr_oecd.sa,x_servs_oecd.sa,fdi_world.sa,fdi_oecd.sa,cci_us.sa,cci_cn.sa,cci_de.sa,cci_jp.sa,cci_uk.sa,cci_oecd.sa,bci_us.sa,bci_cn.sa,bci_de.sa,bci_jp.sa,bci_uk.sa,bci_nl.sa,bci_oecd.sa,manuf_orders_us.sa,manuf_orders_de.sa,manuf_orders_uk.sa,manuf_orders_nl.sa,x_servs_de.sa,x_servs_fr.sa,x_servs_ie.sa,x_servs_nl.sa,x_servs_uk.sa,mar_freight_de.sa,mar_freight_nl.sa,ipi_eu27.sa,is_fr.sa,tourists_de.sa,tourists_es.sa,tourists_fr.sa,tourists_it.sa,tourists_uk.sa,x_servs_us.sa,manuf_orders_us_2.sa,x_servs_cn.sa,x_servs_sg.sa,x_cn_2.sa,constr_cn,freight_mar_cn.sa,ipi_cn,rti_cn,pmi_manuf_cn.sa,export_orders_cn.sa,pmi_nm_cn2.sa,x_hk.sa,x_servs_jp.sa,ind_orders_ez.sa,p_manuf.sa,x_vol_world.sa,x_vol_us.sa,x_vol_jp.sa,x_vol_ez.sa,x_vol_cn.sa,x_vol_ema.sa,x_vol_cis.sa,x_vol_lac.sa,x_vol_afr.sa,x_uv_world.sa,tourists_mx.sa,bci_servs_eu.sa,container_index.sa,is_jp.sa,is_uk.sa,is_br.sa,tourists_tk.sa,container_sg.sa,air_freight_total_lhr.sa,air_freight_intl_lhr.sa,air_freight_hkg.sa,p_comm.sa,x_vol_world2.sa,x_servs_uk2.sa,fdi_cn.sa,fdi_in.sa,baltic.sa,harpex.sa,pmi_manuf_us.sa,pmi_nm_us.sa,pmi_nm_cn.sa,tourists_th.sa,tourists_us,tourists_neasia,tourists_seasia,tourists_world,container_hk.sa,transit_pa_canal.sa,transit_suez_canal.sa,air_freight_mem.sa,container_exports_la.sa,container_total_la.sa,x_servs_world.sa,x_world.sa
2002-01-01,24.8508133639267,55.939,45.7146290797355,30.7891039156626,18.272487826797,11.9282701745656,25.3657201756162,19.6809834538516,22.0799225511411,4.19098096678361,355.368368930218,47.1807842385004,92.1577438856217,94.1948080535405,79.8128342245989,50.408,122.989750854095,110.989075091041,100.350877192982,81.1521426641973,84.633203336278,65.0090532645529,94.0156692782131,86.6,68.586162440911,68.3943004749604,88.7926006166153,60.7936422105354,86.7093459628842,96.4263274648339,94.307858988249,75.8818918212699,71.494042163153,112,52.0602839968638,70.8308727434688,84.1827882665677,80.0083597146409,89.2127889829909,NA,NA,NA,100.470315367772,101.022874060876,98.7348297926205,98.2545869936968,101.622759157656,100.432008665015,99.2273899704084,99.7915333250771,98.4400454209176,97.6640933868694,98.3157247997794,99.7182974308414,98.9151607008397,-11,-34.9,-36,-17.9,8420.83261233585,NA,NA,NA,NA,NA,NA,89.1,NA,1465161.11277778,2993093.55023729,NA,2982160.0199124,1252574.04117266,22482,301973,NA,NA,23476976.3067082,NA,NA,NA,7.9,NA,NA,NA,112919.05236949,6801.33421506716,78.34,NA,66.4663229939685,66.3367232938681,59.4941591690713,78.8581645535804,31.0570655858907,51.1192096685481,59.9566769143965,69.5776458581036,82.5575378889886,59.4916983769296,1586.70890163237,1.1,NA,NA,72.6,NA,NA,1349.88256076296,NA,NA,173375.671849071,42.35,NA,7879000000,4373461744.34481,NA,1013.99772222179,483.43,47.5,48.9,NA,827956.088499471,NA,NA,NA,NA,1412.39245012322,990.636334531952,NA,NA,194304.109029036,445160.08902238,NA,NA
2002-02-01,24.3843273970453,55.717,45.9777259774355,31.0830392267056,18.4663695073727,12.0232872065171,25.1938637090417,19.548191183583,22.1562736162324,3.58393121940627,355.446046702133,46.0704160378701,92.113700705241,95.479282708816,80.2139037433155,51.597,125.489542538122,111.929067257773,101.353383458647,80.6605125442329,85.3595174246872,65.3374176738234,92.4154025670945,86.3,69.1018478727976,70.2941421548204,88.5926172818932,59.89713732634,87.0004422741382,95.2736108939119,94.1078423201934,76.927096942775,73.5938671777352,111.5,51.9557452739786,70.0191616240875,84.5541248684214,80.3516304583732,90.0183545325492,NA,NA,NA,100.674047527747,101.050958023535,98.6360502329162,98.4442470459309,101.69836539144,100.579156730104,99.8277518193044,100.977867549392,98.6289771348646,97.7021423021354,98.650353265739,99.8580656866885,99.2647497575166,6,-34.7,-34.2,-13.4,8532.41872718259,NA,NA,NA,NA,NA,NA,89.8,NA,1476447.531309,3032383.75524495,NA,2998159.04182072,1211944.72209859,22747,307413,NA,NA,25251134.627031,NA,NA,2.7,9.1,NA,NA,NA,124064.666889032,6783.90535805957,78.97,NA,66.8208330481751,66.2092726918297,60.3596702553448,79.6374390600251,30.9234396885159,50.2652027912581,60.6264938899493,70.1022315960252,82.9901238988589,59.2030299307647,1518.45112527375,-0.3,NA,NA,72.5,NA,NA,1401.81500944964,NA,NA,173535.680676715,43.06,NA,7768000000,4329961858.97262,NA,1047.2343238935,476.39,50.7,52.7,NA,909579.201665093,NA,NA,NA,NA,1462.57178258807,967.091524361644,NA,NA,230891.068947637,516486.39502771,NA,NA
2002-03-01,24.2801374035178,55.925,47.4382750749315,32.5336101798232,18.7873480125661,13.0318277941449,25.5388854711201,19.4554976705609,22.6025349184082,3.62058686570763,363.942829568331,47.3856798809946,92.8256828560935,96.4426387002727,80.4144385026738,52.411,126.28947587701,112.239064674461,102.155388471178,81.7802658290522,85.7812593648267,65.179447768823,92.9154859143191,86.6,69.8238074774388,70.2941421548204,88.9925839513374,59.8206035955834,86.5469869569923,95.5920636978591,94.2078506542212,77.4496995035276,73.3938838430131,111.8,52.0602839968638,69.6938329611609,84.534102892729,78.6942589277633,88.6549202101962,NA,NA,NA,100.858262591735,101.076074285633,98.6023587589778,98.6073156257373,101.749312912295,100.70902634865,100.231038074029,101.53763161912,98.8402573144557,97.8116850662179,99.0196106440104,99.9257219133956,99.5632055467093,25,-36.5,-32.3,-15.3,8480.5588098341,NA,7573.22971011813,NA,38030.1635048259,57255.7886046054,101560.188429343,90.5,NA,1471274.89051014,3012098.64592839,NA,2986846.83330815,1506705.58330855,23377,305162,NA,6689.66515190199,24702361.4672009,2340.7400000000002,NA,10.9,8.3,NA,NA,NA,128483.395388056,6664.85054864986,80.02,NA,67.663220080658,66.2521700847574,62.5844722920565,81.3917609068071,30.417708855186,51.4983230302623,61.3498579288505,68.6287443104534,82.8145155941548,59.9648115578719,1913.76108983417,2.6,NA,NA,73.5,NA,NA,1402.83515709522,NA,NA,183326.234614129,48.25,NA,7720000000,4388399381.85637,NA,1078.85128296631,473.07,52.4,52.8,NA,906610.655252706,NA,NA,NA,NA,1504.87055076987,995.30568227603,NA,NA,221494.943776566,497284.074012542,NA,NA
2002-04-01,25.761665920266,57.958,47.7835323062061,32.7973430656935,18.6735562709866,12.9215239139794,26.9510409041122,19.3139830152919,22.2781162825869,4.14552130171292,369.149625528401,50.8260892591614,93.0156498622994,96.0144804818475,80.6149732620321,52.99,121.889842513124,112.879059341172,101.052631578947,81.7031253100939,86.1640599372602,66.2629235377905,92.8154692448742,87.6,70.5457670820799,70.3941338221815,89.2925589534205,61.162661580382,87.5930805809063,95.1953530716658,95.3079423285274,78.7039456493337,73.293892175652,111.5,52.0602839968638,69.9632320339714,84.9651515197588,79.9697836864364,89.3309052154813,NA,NA,NA,100.910153596678,101.084506499412,98.5938317324734,98.7049043504094,101.774372757612,100.75600756733,100.388528240019,101.736026452131,99.0168984290987,98.0194866060119,99.3899555091728,99.9340896761536,99.72546990219,12,-34.7,-27.8,-14.8,8695.46351187503,NA,NA,NA,NA,NA,NA,89.9,NA,1504988.51371965,3022080.05088145,NA,3043831.34460011,1482105.08241608,23186,311737,NA,NA,25795072.4836035,2122.19,NA,12.1,8.2,NA,NA,NA,125420.474870506,7178.05581233798,79.72,NA,68.1788748840939,68.3803387408762,62.874399112353,80.3384365035794,32.2191905063184,52.8702833171194,62.5005224240827,73.5155348605097,83.3593533249239,60.674203717609,2013.89901314557,6.6,NA,NA,72.2,NA,NA,1408.93543252106,NA,NA,181057.836645585,50.58,NA,7777000000,4459384834.93123,NA,1054.69170056392,537.28,52.4,53.5,NA,898226.32062245,NA,NA,NA,NA,1585.53331951353,1010.01081913233,NA,NA,230049.94680482,476249.478366189,NA,NA
2002-05-01,25.3978688746645,58.182,47.2264626944179,34.3551409201967,19.663484074505,13.8197418425483,27.1421802994433,20.6346348132366,24.9291796285116,4.07930388310956,379.866197063754,49.134726345575,93.4929321123311,99.9749440022805,79.8128342245989,52.496,126.589450879093,111.249072924392,101.854636591479,80.7430720088163,86.6052383832021,65.3201753727961,93.3155525920987,86.9,69.9269445638161,71.6940254978752,89.4925422881426,60.0348186560532,86.2506518458719,95.4146754520436,94.7078923243604,78.1813430885811,74.4937921839847,111.6,52.0602839968638,69.4206271623216,84.5644595193854,79.2891124641333,88.8357021924551,NA,NA,NA,100.884521962169,101.099269510905,98.6056238937762,98.6976507722653,101.714231689802,100.74666596691,100.399779954,101.911444963426,99.1201394140924,98.2697665507844,99.6462035581389,99.9149339317396,99.7692170312511,13,-32.4,-25.6,-13.9,8386.79728660087,NA,NA,NA,NA,NA,NA,90,NA,1466461.76899425,3002281.3911696,NA,3044030.99392986,1405501.78227431,23499,315503,NA,NA,25380343.3423448,1217.04,NA,12.9,9.3,NA,NA,NA,125336.508519118,6931.46008694557,80.73,NA,68.0610485793981,68.6446197008465,65.1268012568696,80.0914002308044,31.7604538164876,52.3419974143387,64.9449563366719,67.4308397660743,83.9976026386401,61.6218115171796,1616.78258616052,5,NA,NA,73.4,NA,NA,1410.42283256916,NA,NA,210892.501321598,50.72,NA,7964000000,2400896531.93606,NA,1095.07349070802,655.76,53.1,54.8,NA,941695.62373824,NA,NA,NA,NA,1514.30294882337,995.175229577465,NA,NA,237923.851158663,504067.617149587,NA,NA
2002-06-01,26.3760983015495,58.772,53.3751434772222,35.7811772341893,20.7329909920151,12.8598437920229,28.0320896897147,21.5763756515826,23.156688916427,4.18899603002303,390.832774105501,50.2445110872756,94.542972768522,98.9045484562175,81.8181818181818,51.788,125.089575868678,111.149073757719,96.3408521303258,81.1630413055029,86.6246829288093,65.8795359031828,92.6154359059844,85.5,68.7924366136656,71.1940671610699,89.5925339555037,61.4181617669492,86.9408127013623,94.795737877159,93.707808984082,77.136137967076,73.9938338471794,111.9,51.1194354908964,70.4985162786428,84.5368229670108,78.9016749634713,88.7064822971802,NA,NA,NA,100.637899421453,101.127135379151,98.6594547273558,98.6268399805649,101.657388907352,100.633918670087,100.229139653443,102.277077232122,99.1257104655208,98.4955694296191,99.8267367542062,99.8855634891393,99.7168100736219,7,-33.8,-14.5,-14,8579.49041365889,NA,7959.91044711583,NA,39205.9221603409,58122.8006165295,102848.553868098,90.7,NA,1496829.53501737,2977821.66511128,NA,2969511.13998418,1548934.83013282,23496,309128,NA,6770.72804779123,26469478.4471152,2544.74,NA,12.4,8.6,NA,NA,NA,126934.972231665,7244.07033358866,80.27,NA,69.0450212962165,69.3407168721967,66.5255595334395,83.4976695312395,33.012662173605,52.8368084502667,64.2757773732155,64.3569681204207,82.8559508229681,62.9004855386647,1523.9531321785,2.7,NA,NA,73.7,NA,NA,1411.96006558381,NA,NA,223521.327819299,49.58,NA,8277000000,4626393541.28189,NA,1107.6527023262,655.76,53.6,52.5,NA,884546.90340544,NA,NA,NA,NA,1609.60368529441,992.169909854039,NA,NA,238287.815578318,533364.862477272,NA,NA
2002-07-01,27.7278626099984,59.129,52.4500784324396,36.7179427855657,21.274671334825,13.3348502572224,28.5801754713506,22.0375022289831,25.1322830911796,4.58480193260996,397.352692893673,53.8621605677828,94.2134864258081,99.5467857838553,80.4144385026738,53.474,124.489625864511,109.979083507637,100.451127819549,81.2551589742971,86.8221428748837,66.639211401387,91.4152358726454,86.9,70.1332187365707,71.7940171652362,89.7925172902258,61.0778221834881,87.7479220484586,93.9519382041577,95.2079339944996,78.4949046250326,74.5937838513457,112.3,51.746667828208,70.1037880719595,85.1402746500806,78.9344739053262,88.3904630155224,NA,NA,NA,100.307716526239,101.143870364697,98.6895723337936,98.5323030176997,101.685837453147,100.47706777695,99.8624897486569,102.74549199016,99.0718847261029,98.6476564638825,99.8975329785519,99.8679867539602,99.585062079054,-9,-34.1,-21.6,-15.4,8901.27775388679,NA,NA,NA,NA,NA,NA,89.9,NA,1483950.97564048,3001770.9018239,NA,3054331.60097958,1612533.76110936,23456,310741,NA,NA,27617352.9765665,2203.1399999999994,NA,12.8,8.6,NA,NA,NA,134718.91022628,6898.08942531797,80.32,NA,69.7035077765997,69.5490095209627,66.1487774066214,81.785769466438,34.6036931714031,54.1722399169378,64.7619845263557,77.788424382672,83.5964300152653,63.7598057949419,1516.46666593107,1.1,NA,NA,73.8,NA,NA,1425.25267499312,NA,NA,205065.791480606,50.43,NA,8610000000,4682556128.98579,NA,1094.14558293446,673.57,50.2,50.4,NA,885921.092476347,NA,NA,NA,NA,1635.53715861627,994.754266367132,NA,NA,212973.118250449,476546.152781964,NA,NA
2002-08-01,28.1805419885514,59.173,54.5627516786913,35.327296274082,21.0114409698247,14.4955837260873,29.1784546230247,21.9647237921436,22.9560663799379,4.57445467247572,396.398657597588,54.4880896637575,94.4411906536824,99.8679044476742,82.1189839572192,54.253,123.189734188818,112.599061674486,101.353383458647,81.5785421394679,87.2443451012234,67.1907114710113,92.9154859143191,86.4,69.8238074774388,72.0939921673194,89.7925172902258,61.4143875070609,88.2290352394719,95.200292944999,94.7078923243604,78.4949046250326,74.6937755187068,112.1,52.1648227197491,70.218282677904,85.5851574907214,78.1777687723593,88.3194990979866,NA,NA,NA,100.035613413992,101.15545259538101,98.6422885462257,98.4338725062584,101.783434924973,100.332057402145,99.6038880879165,103.125767833806,99.0322939950728,98.7478744256275,99.874409838772,99.9057672827223,99.5231848078752,-10,-35.4,-19.6,-12.5,9127.30815528422,NA,NA,NA,NA,NA,NA,90.7,NA,1501455.63366152,2992633.84068096,NA,3037488.10422521,1503905.3147901,23799,318793,NA,NA,28350367.4546814,1740.2000000000007,NA,12.7,8.8,NA,NA,NA,132880.748069583,6768.30600873115,80.88,NA,69.6396195283794,69.459442075026,66.0051702515638,82.5962989706287,35.0875962791419,54.3597806274882,64.1561174859588,73.8493582225447,83.3759155647661,63.431900151756,1590.42523616803,-4.2,NA,NA,74.5,NA,NA,1414.32084817248,NA,NA,229103.53336039,51.23,NA,8828000000,4663531673.70422,NA,1109.59211398142,724.94,50.3,50.9,NA,888351.042394397,NA,NA,NA,NA,1648.30832669161,988.699175849126,NA,NA,240916.097738627,553215.875240289,NA,NA
2002-09-01,29.6298990423677,58.639,54.5560245048654,36.2323613793104,21.5038208654199,13.9075591373859,28.6737894242878,22.3233075329062,24.1033689483563,4.45613041568069,399.381267089017,56.7444260301358,94.545337503039,100.724220884525,81.2165775401069,53.645,125.389550870761,110.629078091016,100.551378446115,81.3249502677382,87.3239454704676,66.089739837766,92.8154692448742,87.2,69.9269445638161,72.2939755020415,89.8925089575869,61.0770673315105,86.6393355482732,95.0978168492563,95.6079673306109,78.3903841128821,74.5937838513457,111.8,51.6421291053228,69.8835836124448,84.9098734794408,77.5372576180662,88.6000203858955,NA,NA,NA,99.797569230749,101.181337080781,98.4969833072454,98.3365644499376,101.889939414138,100.19215033944,99.476224267266,103.217841947497,99.0508816547907,98.8213800615472,99.7421358777159,99.8688474167617,99.5424647065021,-11,-35.6,-22.5,-15.9,8774.06972943806,NA,8178.7403223607,NA,40301.6887233185,59441.8397610493,101888.159754775,90.7,NA,1489072.89691916,3020623.84767547,NA,3057460.08964764,1512491.39181397,23495,311141,NA,7183.92129151172,29607955.7288202,2229.2000000000007,NA,13.8,9.1,NA,NA,NA,138813.815032192,6603.65039790655,80.25,NA,70.1663603015368,68.623607339241,65.8134689654495,82.8494364659086,36.7748325804292,54.5061791006844,63.992549177598,77.1595915211721,83.7544235591984,63.7966867135787,1496.58494897444,-2,NA,NA,75.2,NA,NA,1443.21722600302,NA,NA,205215.086590036,54.04,NA,8849000000,4680295905.14999,NA,1318.28386661127,729.91,50.5,52.3,NA,924794.277788227,NA,NA,NA,NA,1761.79184746939,993.154301303295,NA,NA,248401.417553642,557608.786830165,NA,NA
2002-10-01,29.0650766201707,58.066,53.8219910370769,35.7932829222078,21.3259409331873,14.3535324842922,28.5619575644762,22.469126117708,23.1709011646043,4.68000300229284,396.663167840215,56.9687714393564,94.1999877329397,100.724220884525,80.3141711229946,53.977,123.889675860345,109.709085757619,99.3483709273183,81.8605223667449,87.0798193350332,66.4394035600703,91.91531921987,87,70.236355822948,72.4939588367636,91.0924089659195,62.09023240919,86.9054531655474,94.3689109033573,95.4079506625552,78.8084661614842,74.6937755187068,112.9,52.0602839968638,70.6203315115658,85.0731764856016,78.2413167222034,88.4404864011322,NA,NA,NA,99.6178594907645,101.242873481536,98.108900523109,98.2396535830287,101.819908930529,100.031701014909,99.4168217089809,102.994997739133,99.0842338276597,98.8807335894457,99.6794050496704,99.8162441793982,99.5750772905646,-13,-33.1,-29.5,-16.6,8925.23254144889,NA,NA,NA,NA,NA,NA,90.1,NA,1475662.42499923,3020346.16959286,NA,3012205.53687368,1604843.58534228,23591,315095,NA,NA,29162012.206063,2028.9599999999991,NA,14.2,9.4,NA,NA,NA,136032.79448433,6884.56347654888,79.01,NA,70.4759649889314,68.0218892802884,66.0347467864917,83.3576997871097,35.9714226428343,55.0174318223171,64.9093193307237,75.0163877562219,88.810273143504,63.626923990553,1556.31345828222,-4.9,NA,NA,75.6,NA,NA,1414.73781335574,NA,NA,190650.054296129,54.67,NA,8768000000,4802121347.97587,NA,1222.66118925201,741.51,49,51.4,NA,939601.972842233,NA,NA,NA,NA,1669.56503060244,955.585603419485,NA,NA,190057.479624377,413816.013090568,NA,NA
