date,manuf_orders_us.sa,manuf_orders_de.sa,manuf_orders_uk.sa,manuf_orders_nl.sa,x_cn_2.sa,constr_cn,freight_mar_cn.sa,ipi_cn,rti_cn,pmi_manuf_cn.sa,export_orders_cn.sa,pmi_nm_cn2.sa,x_cn.sa,x_us.sa,x_de.sa,x_jp.sa,x_nl.sa,x_kr.sa,x_fr.sa,x_it.sa,x_uk.sa,x_in.sa,x_oecd.sa,x_briics.sa,ipi_us.sa,ipi_jp.sa,ipi_de.sa,ipi_kr.sa,ipi_it.sa,ipi_fr.sa,ipi_uk.sa,ipi_mx.sa,ipi_oecd.sa,rti_val_us.sa,rti_val_jp.sa,rti_val_de.sa,rti_val_uk.sa,rti_val_fr.sa,rti_val_it.sa,rti_val_ca.sa,rti_vol_us.sa,rti_vol_jp.sa,rti_vol_de.sa,rti_vol_uk.sa,rti_vol_fr.sa,rti_vol_it.sa,rti_vol_br.sa,rti_vol_ca.sa,rti_vol_oecd.sa,constr_us.sa,constr_oecd.sa,x_servs_oecd.sa,fdi_world.sa,fdi_oecd.sa,cci_us.sa,cci_cn.sa,cci_de.sa,cci_jp.sa,cci_uk.sa,cci_oecd.sa,bci_us.sa,bci_cn.sa,bci_de.sa,bci_jp.sa,bci_uk.sa,bci_nl.sa,bci_oecd.sa,x_servs_de.sa,x_servs_fr.sa,x_servs_ie.sa,x_servs_nl.sa,x_servs_uk.sa,mar_freight_de.sa,mar_freight_nl.sa,ipi_eu27.sa,is_fr.sa,tourists_de.sa,tourists_es.sa,tourists_fr.sa,tourists_it.sa,tourists_uk.sa,x_servs_us.sa,manuf_orders_us_2.sa,x_servs_cn.sa,x_servs_sg.sa,x_hk.sa,x_servs_jp.sa,ind_orders_ez.sa,p_manuf.sa,tourists_mx.sa,bci_servs_eu.sa,container_index.sa,is_jp.sa,is_uk.sa,is_br.sa,tourists_tk.sa,container_sg.sa,air_freight_total_lhr.sa,air_freight_intl_lhr.sa,air_freight_hkg.sa,p_comm.sa,x_vol_world2.sa,tourists_us,tourists_neasia,tourists_seasia,tourists_world,container_hk.sa,transit_pa_canal.sa,transit_suez_canal.sa,air_freight_mem.sa,container_exports_la.sa,container_total_la.sa,x_servs_world.sa,x_world.sa,x_servs_uk2.sa,fdi_cn.sa,fdi_in.sa,baltic.sa,harpex.sa,pmi_manuf_us.sa,pmi_nm_us.sa,pmi_nm_cn.sa,tourists_th.sa
2002-01-01,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-01,0.085,0.0010000000000000141,0.008999999999999985,0.0225,0.07557013719078709,NA,NA,2.7,9.1,NA,NA,NA,-0.018771456694393285,-0.0039686086630079664,0.005755201409183508,0.009546731592064095,0.010610579271606912,0.007965700856952695,-0.0067751463543977986,-0.006747237534139083,0.0034579408018511337,-0.14484669631969815,2.1858380966444102e-4,-0.023534331159426047,-4.7791079212355925e-4,0.013636363636363003,0.005025125628140836,0.02358752578955725,0.020325203252038015,0.00846923146229428,0.009990009990018534,-0.006058128643611216,0.008581904734519918,0.005051056626439676,-0.017021276595745483,-0.0034642032332563577,0.007518796992482146,0.02777777777777768,-0.0022522522522522292,-0.014746688166678679,0.0033571503512273004,-0.011954375959640218,-0.002120890774124362,0.01377410468319562,0.02937062937063062,-0.004464285714285698,-0.002008032128512749,-0.011459849186400861,0.00441107510810701,0.004290435961399552,0.009029709291028754,NA,NA,NA,0.0020277846170706493,2.7799607682976735e-4,-0.0010004530307266002,0.0019302920915666988,7.439891852050184e-4,0.001465151071306403,0.0060503642096707555,0.011888125022093243,0.0019192566718062576,3.895896019356915e-4,0.0034036108327641923,0.001401630988977054,0.0035342312967998613,0.013251197355861999,NA,NA,NA,NA,NA,NA,0.007856341189674598,NA,0.007703192797563485,0.01312695522147811,NA,0.005364910602211781,-0.032436660619305724,0.011787207543812794,0.018014855632788374,NA,NA,0.0987044638230905,-0.002562564411109025,0.008041868777125316,NA,-0.04301846185421787,-0.006999999999999958,NA,NA,-0.0013774104683195176,NA,NA,0.03847182725090348,NA,NA,9.229024230303917e-4,0.01676505312868959,NA,NA,NA,NA,NA,0.03552789627307362,-0.023767359776312058,NA,NA,0.18829740709772436,0.16022619224910817,NA,NA,-0.014088082243939537,-0.009946328084025846,NA,0.03079248472092022,-0.014562604720437244,0.03200000000000003,0.03800000000000004,NA,0.09858386730816848
2002-03-01,0.095,-0.008999999999999985,0.00950000000000003,-0.009499999999999958,-0.021732613917579857,NA,NA,10.9,8.3,NA,NA,NA,-0.0042728262228026725,0.0037331514618519357,0.03176644921962413,0.04666760359364441,0.01738178720323158,0.08388226699609502,0.013694674467679135,-0.004741794887904938,0.02014153236710592,0.010227776164586366,0.02390456426518739,0.028548989921066692,0.0077293838527972,0.010089686098655015,0.0025000000000001688,0.015776111014206284,0.006374501992028492,0.0027695881354401486,0.007912957467850257,0.013882298159278994,0.004940772310616737,-0.0024177555621958113,0.0054112554112561995,0.0034762456546928444,0.010447761194030347,0,0.004514672686229959,-0.001277752730311943,-0.005212103585830685,0.0033425079721374207,0.0010626992561102444,0.006793478260870289,-0.0027173913043477826,0.0026905829596413078,0.002012072434606438,-0.004646280466384378,-2.367947835018036e-4,-0.020626482887220465,-0.015146181347494014,NA,NA,NA,0.0018298168049439845,2.485504599782917e-4,-3.4157363214404324e-4,0.0016564561637646413,5.009669590940735e-4,0.0012912180094579728,0.004039821065534799,0.005543433262285902,0.0021421714563885086,0.0011211910148678506,0.003743092305779294,6.775239059744198e-4,0.0030066643992128217,-0.006077985505244299,NA,NA,NA,NA,NA,NA,0.007795100222717233,NA,-0.003503436924896297,-0.006689492806269626,NA,-0.003773051514205261,0.24321312336717416,0.02769595990680096,-0.007322396905791284,NA,NA,0.03561633307713841,-0.017549597632323666,0.013296188425984568,NA,0.26033762824546125,0.014499999999999957,NA,NA,0.01379310344827589,NA,NA,7.277334303763539e-4,NA,NA,0.05641810317760032,0.12052949372967947,NA,NA,NA,NA,NA,0.02892081515954792,0.029174237601771402,NA,NA,-0.04069505682440189,-0.03717875475526855,NA,NA,-0.006179196704428458,0.013496082595428671,NA,0.030347706443500932,-0.006969079955496671,0.016999999999999956,9.999999999999432e-4,NA,-0.0032636480769927534
2002-04-01,-0.065,0.008999999999999985,0.0225,0.0025,0.0442350832673819,NA,NA,12.1,8.2,NA,NA,NA,0.06101812737408774,0.036352257487706874,0.0072780308881224,0.008106474639997474,-0.006056828324220498,-0.008464191048861203,0.05529432498489384,-0.007273761774962528,-0.014353196975135818,0.14498600792518035,0.014306631528489655,0.07260441101208448,0.002046491879843293,-0.004439511653718253,0.0024937655860348684,0.011047299231077501,-0.03483768804433629,0.005702066999286215,-0.010794896957805888,-9.432656910109971e-4,0.004462519847201918,0.016622966380604343,-0.0010764262648008671,0.011547344110854452,0.010339734121121547,0.0014224751066862495,0.003370786516853297,0.02243471152299925,0.012087002224974386,-0.004150037260908901,0.011677282377919429,0.0161943319838056,-0.0013623978201640075,-0.0026833631484793896,0,0.0038654650112390776,0.005099109262173052,0.01620861262374884,0.007624901175054655,NA,NA,NA,5.144943369990163e-4,8.342442896203117e-5,-8.647893023772113e-5,9.896702293619164e-4,2.4629006918797103e-4,4.665045466467621e-4,0.0015712714246627346,0.0019539044770631175,0.0017871373410232039,0.002124506286271588,0.003740116354262746,8.373982792186929e-5,0.0016297622659866562,0.02534086572122174,NA,NA,NA,NA,NA,NA,-0.006629834254143541,NA,0.022914564386958602,0.0033137709372674795,NA,0.019078484593348044,-0.01632734434981664,-0.008170423920947911,0.02154593297985996,NA,NA,-0.023839037786159922,0.07700176619745558,-0.0037490627343164107,NA,0.0523251955760462,0.02,NA,NA,-0.017687074829931926,NA,NA,0.00434853332195595,NA,NA,-0.01237355893616976,0.048290155440414484,NA,NA,NA,NA,NA,0.053601134464618116,0.014774493020750068,NA,NA,0.03862392017798788,-0.04229895294379071,NA,NA,0.007383419689119153,0.016175704829497928,NA,-0.022653809797573365,0.13573044158369796,0,0.007000000000000029,NA,-0.009247999217391722
2002-05-01,0.005,0.011499999999999986,0.011000000000000015,0.004499999999999957,-0.016077843608399367,NA,NA,12.9,9.3,NA,NA,NA,-0.014121642859878603,0.003864867662790372,-0.011658192370927911,0.04749768453447345,0.053012280529363576,0.06951331240405367,0.007092096962456607,0.06837801384101216,0.11899854154172074,-0.015973242876836546,0.029030427756802757,-0.03327745530375492,0.005131203735481815,0.04124860646599826,-0.009950248756219415,-0.009322513681826794,0.03855619360130835,-0.014440113394756704,0.00793650793651457,-0.011750508902001466,0.00512021423158493,-0.014227385612660681,0.005387931034482429,-0.007990867579908523,-0.008771929824560765,0.01846590909090917,0.002239641657334923,-0.018440056321724185,-0.015325739500558488,0.002303918976094055,-0.006295907660020861,-0.0066401062417005274,0.016371077762620034,8.968609865469546e-4,0,-0.007755571832163688,-0.004715956991852455,-0.008511605145413825,-0.005543468095746684,NA,NA,NA,-2.540045138712532e-4,1.4604623402991734e-4,1.1960343862882361e-4,-7.348751505131812e-5,-5.909254577596279e-4,-9.271507124530842e-5,1.1208167086684817e-4,0.0017242516482354198,0.001042660259325645,0.0025533692680772546,0.002578208709857588,-0.00019168378354261773,4.3867558712951116e-4,-0.035497386062586345,NA,NA,NA,NA,NA,NA,0.0011123470522802492,NA,-0.025599361306870905,-0.006551335298373484,NA,6.559145601303662e-5,-0.05168547159752912,0.013499525575778382,0.012080696227910082,NA,NA,-6.694788189464118e-4,-0.03435411089567586,0.012669342699448194,NA,-0.19718785519676174,-0.007999999999999972,NA,NA,0.016620498614958512,NA,NA,0.0010556907107079905,NA,NA,0.16477974789024707,0.002767892447607778,NA,NA,NA,NA,NA,-0.04492518057710371,-0.014688545185693958,NA,NA,0.03422693403412702,0.05841085407343716,NA,NA,0.0240452616690241,-0.4616081318819202,NA,0.03538133581427316,0.22051816557474502,0.007000000000000029,0.012999999999999972,NA,0.04839459957671566
2002-06-01,-0.03,-0.006999999999999958,0.05549999999999997,-4.999999999999716e-4,0.042912544171665346,NA,NA,12.4,8.6,NA,NA,NA,0.038516201170753606,0.010140593310645762,0.13019566641248925,0.04150867310674489,0.054390509507762586,-0.06945846467045136,0.0327869530175382,0.045638842018270065,-0.07110104457899591,0.026889917999895152,0.028869578621407266,0.022586566044862977,0.011231230345084109,-0.010706638115632106,0.025125628140703737,-0.01348674184699794,-0.011848341232221227,-8.988764044889352e-4,-0.05413385826771944,0.0052013044121079766,2.2451927816602435e-4,0.008563365410369839,-0.007502679528402445,-0.016110471806674354,-0.016224188790561644,-0.0069735006973505875,0.0011173184357546884,0.02304234678914141,0.008001804516488908,-0.006486817378482668,-0.010559662090813493,-0.013368983957219416,-0.006711409395973478,0.0026881720430107503,-0.018072289156626176,0.015526928528041717,-3.2681048908322907e-4,-0.004886389677236758,-0.0014545941787565964,NA,NA,NA,-0.0024446023623770907,2.7562877932552077e-4,5.459205211011398e-4,-7.174516429352407e-4,-5.588478770931493e-4,-0.0011191169031840031,-0.001699608312241141,0.003587744917435076,5.620504028058804e-5,0.002297785847674705,0.0018117418388345907,-2.939544815229178e-4,-5.252818373104873e-4,0.022975770186537847,NA,0.05105889452700474,NA,0.030916476479671218,0.015142783516815639,0.012685733048352077,0.007777777777777883,NA,0.020708188010893247,-0.008147046486136067,NA,-0.024480648881131883,0.10205113196399807,-1.2766500702154904e-4,-0.020205830055498697,NA,0.012117631308675048,0.01275337674100907,0.045100201504708615,-0.005698005698005826,NA,-0.057416163915067986,-0.011499999999999986,NA,NA,0.004087193460490468,NA,NA,0.0010899093372234159,NA,NA,0.059882766900482665,-0.02247634069400628,NA,NA,NA,NA,NA,0.06293373234536048,-0.0030198899993741923,NA,NA,0.0015297517162846663,0.058121657354931466,NA,NA,0.03930185836263189,0.9269441559612777,NA,0.012900318441839476,0,0.005,-0.022999999999999972,NA,-0.060687040368667344
2002-07-01,-0.08,-0.0014999999999999857,-0.03549999999999997,-0.007000000000000029,0.04336596702291273,NA,NA,12.8,8.6,NA,NA,NA,0.051249593211043276,0.006074321105288272,-0.0173313828219942,0.026180400528613923,0.026126492941540347,0.03693718779804711,0.019552084332728148,0.021371827449003344,0.08531419072400892,0.09448705602730145,0.01668211885017601,0.07200088929561455,-0.0034850431826447537,0.006493506493506773,-0.017156862745097756,0.03255580443345951,-0.004796163069549775,-0.010526315789480378,0.042663891779398,0.0011349706382670632,0.00227948824051305,0.011531281873640165,-0.012958963282938551,0.01637426900584793,0.01949025487256484,0.008426966292134574,0.0022321428571427937,-0.005541350858928484,0.009283434580588557,-0.008901240624285656,0.01600853788687351,0.017615176151761336,0.008108108108107803,0.003574620196604039,0.012269938650306456,-0.005599099492011317,0.007138329332594839,4.156938603658844e-4,-0.003562527489243572,NA,NA,NA,-0.0032809001093241363,1.6548461976362283e-4,3.0526832447064223e-4,-9.585318041601676e-4,2.798472998448709e-4,-0.0015586284943470696,-0.0036581168515847917,0.004579860617007325,-5.430048285669509e-4,0.0015441002589673403,7.091910108212307e-4,-1.7596872425929e-4,-0.0013212215119058346,0.03750657961172177,NA,NA,NA,NA,NA,NA,-0.008820286659316445,NA,-0.008603891809724762,0.008042535586739064,NA,0.028563779355228025,0.04105978491754003,-0.001702417432754566,0.005217903263373014,NA,NA,0.061322249162419684,-0.047760567241662,6.228977201943042e-4,NA,-0.004912530503302315,-0.008000000000000042,NA,NA,0.0013568521031206426,NA,NA,0.009414295583362486,NA,NA,-0.0825672275605529,0.017144009681323125,NA,NA,NA,NA,NA,0.01611171343529616,0.0026047519557141907,NA,NA,-0.10623580255847709,-0.1065287830012035,NA,NA,0.040231968104385674,0.012139604467876541,NA,-0.011671531235663002,0.02715932658289777,-0.03399999999999999,-0.021000000000000015,NA,0.001553551389549268
2002-08-01,-0.005,-0.006500000000000057,0.01,0.014500000000000028,0.026541807925504868,NA,NA,12.7,8.8,NA,NA,NA,0.01632579419914504,7.44135703292903e-4,0.04027969660661257,-0.0378737588760113,-0.01237294625414087,0.08704510710468805,0.02093336173788818,-0.0033024812015122196,-0.08659049014156062,-0.0022568608821775804,-0.0024009785592173927,0.011620942965832048,0.0024168963119055586,0.003225806451613078,0.021197007481295937,0.014567827355350227,-0.010441767068267604,0.023822513184218908,0.008982035928146281,0.003979847793702529,0.0048628404271031656,0.008275909303644857,0.01641137855579977,-0.005753739930955071,-0.004411764705881782,0.004178272980501996,0,0.005510434254870855,0.005482901244631133,0.013287163252860612,-0.005252100840336338,0,0.0013404825737270976,-0.0017809439002671734,0.008080808080808577,0.0016332156805418663,0.005225292524239977,-0.009586497451981368,-8.028458627187263e-4,NA,NA,NA,-0.0027126837462781994,1.1451243305460324e-4,-4.791163488679917e-4,-9.989669217781438e-4,9.597941490224748e-4,-0.001443218617076969,-0.0025895775419906286,0.0037011438290879273,-3.996162093771183e-4,0.0010159183232263391,-2.3146857675515609e-4,3.783046999352724e-4,-6.213509324287658e-4,0.025393028691721442,NA,NA,NA,NA,NA,NA,0.008898776418242438,NA,0.011795981341961026,-0.0030438902373889354,NA,-0.005514626096579711,-0.06736506790687458,0.014623124147339794,0.02591225490038318,NA,NA,-0.01364442566830093,-0.018814400420858357,0.006972111553784854,NA,0.04877032373906576,-0.026499999999999985,NA,NA,0.009485094850948617,NA,NA,-0.007670097388656205,NA,NA,0.11721965768267761,0.015863573269879083,NA,NA,NA,NA,NA,0.007808546573252473,-0.006087021410945304,NA,NA,0.13120425581278283,0.1608862478707367,NA,NA,0.025319396051103338,-0.004062835502132267,NA,0.014783259791945946,0.07626527309707831,9.999999999999432e-4,0.005,NA,0.0027428514104543833
2002-09-01,-0.005,-9.999999999999432e-4,-0.014500000000000028,-0.01700000000000003,0.044358799798594584,NA,NA,13.8,9.1,NA,NA,NA,0.05143112770524838,-0.009024386122048922,-1.2329242237485438e-4,0.025619427487644897,0.023433894719658843,-0.04056577505348391,-0.017295816562494237,0.016325438196079567,0.0499781865686304,-0.02586630872243234,0.007524267386538108,0.041409716881285474,0.0011027693386300719,0.008574490889607711,-0.010989010989011061,-0.011206753543582804,0.01785714285714146,-0.017495559502663016,-0.007912957467860249,-0.003108560965653817,9.12384282922396e-4,-0.016385771323768394,-0.0010764262648008671,0.0092592592592593,0.001477104874445745,0.00277392510402219,0.0011135857461028742,-0.005492526901967776,-0.018017874579314253,-0.001076426264800534,0.00950369588173161,-0.0013315579227695107,-0.0013386880856766092,-0.00267618198037467,-0.010020040080159442,-0.00476655156883421,-0.007890200019247562,-0.008193008886684394,0.0031762101322345693,NA,NA,NA,-0.00237959437763291,2.5588818729849194e-4,-0.0014730521880805814,-9.885627156912546e-4,0.0010463833259657385,-0.0013944402848655724,-0.0012817152332227355,8.928332426032526e-4,1.8769291276665712e-4,7.443768926393979e-4,-0.0013244029303365323,-3.6954689368551286e-4,1.9372268546402616e-4,-0.038701270937330334,NA,0.027491499646727924,NA,0.02794900623676755,0.022694005287568375,-0.009337944746940163,0,NA,-0.008247154604337448,0.009352967481027097,NA,0.006575164984069737,0.005709187233684521,-0.012773645951510537,-0.02400303645312163,NA,0.061026412640407646,0.044649560216970974,-0.02432744775608442,-0.007789317507418292,NA,-0.05900326847157478,0.011000000000000015,NA,NA,0.00939597315436247,NA,NA,0.020431274747790384,NA,NA,-0.104269220207863,0.054850673433535,NA,NA,NA,NA,NA,0.06884847873428956,0.004506047504634347,NA,NA,0.031070235178455974,0.007940682446916147,NA,NA,0.002378794743996382,0.0035947502062219083,NA,0.18809946843904912,0.00685573978536147,0.0020000000000000282,0.013999999999999986,NA,0.041023462184052395
2002-10-01,-0.01,0.0125,-0.035,-0.0034999999999999433,-0.015061611373699879,NA,NA,14.2,9.4,NA,NA,NA,-0.019062583419179435,-0.00977165367758659,-0.013454672961425884,-0.012118405767318263,-0.008272015161670532,0.03206697469345632,-0.003900142327085465,0.0065321227415271466,-0.038686201325213165,0.0502392357782806,-0.006805775515245083,0.003953611392623069,-0.003652742474880788,0,-0.011111111111111183,0.006188834001304766,-0.01196172248803995,-0.008316008316006318,-0.011964107676966207,0.006585581635691007,-0.0027956379446569812,0.005290741394392562,-0.009698275862069283,-0.002293577981651418,0.004424778761061621,0.0027662517289070987,0.013348164627363435,0.016588305921440227,0.003071556534802067,-0.0076648020958717256,-0.0020920502092054427,0.005333333333334078,0.0013404825737270976,0.009838998211091354,0.008097165991901356,0.010542503132163317,0.0019232510834013006,0.009080268322169127,-0.0018006088945403675,NA,NA,NA,-0.0018007426570579854,6.081793592613849e-4,-0.003940047411663761,-9.85501857330373e-4,-6.873149990241911e-4,-0.001601416118801935,-5.971533270653362e-4,-0.002158969846292269,3.3671757698461313e-4,6.006142381489443e-4,-6.289300654480634e-4,-5.267231846982634e-4,3.276248398977888e-4,0.017228357725909138,NA,NA,NA,NA,NA,NA,-0.006615214994487362,NA,-0.009005920360027786,-9.192739533714356e-5,NA,-0.01480135519256287,0.061059649018927464,0.0040859757395190766,0.012708064832342991,NA,NA,-0.02003417705375421,0.042539059719361116,-0.015451713395638556,NA,0.039909869031296674,-0.014500000000000028,NA,NA,0.005319148936170137,NA,NA,-0.019733282096523697,NA,NA,-0.07097447139938584,0.011658031088082943,NA,NA,NA,NA,NA,-0.05234830493705778,-0.03782765460967086,NA,NA,-0.2348776367858919,-0.25787393802923153,NA,NA,-0.009153576675330566,0.02602943174849881,NA,-0.07213482110391978,0.015892370292227787,-0.015,-0.008999999999999985,NA,0.0160118800577147
