y,in,out,date
NA,NA,0.047002489259557814,2002-03-01
NA,NA,0.04523865021026953,2002-06-01
NA,NA,0.04004111530415848,2002-09-01
NA,NA,0.016822769177438735,2002-12-01
NA,NA,0.050231736866148916,2003-03-01
NA,NA,0.020693045391481868,2003-06-01
NA,NA,0.018921764682495422,2003-09-01
NA,NA,0.05350666234536194,2003-12-01
NA,NA,0.05712496817353331,2004-03-01
NA,NA,0.022484644587757806,2004-06-01
NA,NA,0.023592322801219347,2004-09-01
NA,NA,0.04811481528987739,2004-12-01
NA,NA,0.030626188650222104,2005-03-01
0.006799904936641621,0.01051998437109337,NA,2005-06-01
0.018302332044505043,0.016572653775943677,NA,2005-09-01
0.034078840168536795,0.023666756099418748,NA,2005-12-01
0.05710859587193173,0.046547969288911334,NA,2006-03-01
0.04093320840215231,0.03910539615809439,NA,2006-06-01
0.040900085388258844,0.035704302722680825,NA,2006-09-01
0.015621849666565879,0.017459400545327942,NA,2006-12-01
0.026229878325897626,0.028960675913517184,NA,2007-03-01
0.039647997718033956,0.03627141269793416,NA,2007-06-01
0.054418125286962216,0.04394247268001273,NA,2007-09-01
0.06510995015988996,0.06103689132647415,NA,2007-12-01
0.06885718479100622,0.06205825469821153,NA,2008-03-01
0.07331585949677022,0.06683253437621607,NA,2008-06-01
-0.003453881247019397,-0.012765335112027142,NA,2008-09-01
-0.046114218868255764,-0.08136272884465018,NA,2008-12-01
-0.14859722514271057,-0.12443337445062803,NA,2009-03-01
0.023446356662497392,0.01881886845379499,NA,2009-06-01
0.11086574335517274,0.08349053985757837,NA,2009-09-01
0.07847589507843433,0.06537436213777192,NA,2009-12-01
0.036369229612709386,0.02967489177084135,NA,2010-03-01
0.0203976034170521,0.01664389319890525,NA,2010-06-01
0.03871669938350042,0.03282842592374415,NA,2010-09-01
0.07306781500542936,0.06144385695680018,NA,2010-12-01
0.07365005092612686,0.06589138243162429,NA,2011-03-01
0.0474503487904443,0.047668165470810084,NA,2011-06-01
0.013708449784962662,0.013958611714354476,NA,2011-09-01
-0.021185368279540095,-0.01775768177580584,NA,2011-12-01
0.010530765409898724,0.01197249462754091,NA,2012-03-01
-0.00939752202302968,-0.005086073976625966,NA,2012-06-01
-0.005950662240135629,-0.00348945202334929,NA,2012-09-01
0.007196616372636688,0.012843852093661692,NA,2012-12-01
0.016879777636424453,0.018108603346215876,NA,2013-03-01
7.114144896316343e-4,-0.003601826357279356,NA,2013-06-01
-0.0017124970917948845,4.888545701834616e-4,NA,2013-09-01
0.022054579376351358,0.02188526241004615,NA,2013-12-01
-0.006273409301103983,0.0015888564703679577,NA,2014-03-01
0.006632727706191721,0.008380311356624509,NA,2014-06-01
0.0018993955997967937,-0.0013029159651744716,NA,2014-09-01
-0.04256015869247709,-0.03538587101125576,NA,2014-12-01
-0.08861925519756442,-0.07135405496040256,NA,2015-03-01
-0.008118597365677105,-0.004648809338654988,NA,2015-06-01
-0.014078185573564217,-0.01706998504955825,NA,2015-09-01
-0.01786278736860525,-0.016097276590887576,NA,2015-12-01
-0.05418598857287804,-0.04241636564335912,NA,2016-03-01
0.052392426445827533,0.042562443510600685,NA,2016-06-01
0.0035293001257705736,0.0038318057573077345,NA,2016-09-01
0.03771296766949628,0.02911630855943071,NA,2016-12-01
0.010810300215218449,0.018271312676549648,NA,2017-03-01
0.022030788673603086,0.021881400392301638,NA,2017-06-01
0.04560937728791048,0.03627774044066936,NA,2017-09-01
0.046681574496019174,0.04005249887516384,NA,2017-12-01
0.02239995536320394,0.031562633905501916,NA,2018-03-01
0.013194524874723168,0.011586519275400657,NA,2018-06-01
0.006564727500152356,0.0026497970035971336,NA,2018-09-01
-0.011555481459600392,-0.006546961475694972,NA,2018-12-01
-0.022364335868829688,-0.0112634305644295,NA,2019-03-01
-0.0046154568426044484,-0.001879359740571412,NA,2019-06-01
-0.003199227678116312,-0.003455513686076458,NA,2019-09-01
0.004808827086934198,0.003411515837452153,NA,2019-12-01
NA,NA,-0.01063374778678868,2020-03-01
NA,NA,-0.061382569470377416,2020-06-01
NA,NA,-0.028700112329283205,2020-09-01
NA,NA,-0.002976424589285572,2020-12-01
NA,NA,0.005924639447607672,2021-03-01
