y,in,out,date
NA,NA,0.03233750250648741,2002-03-01
NA,NA,0.04495781218358087,2002-06-01
NA,NA,0.040603673968404835,2002-09-01
NA,NA,0.016267496318943454,2002-12-01
NA,NA,0.05066925148806411,2003-03-01
NA,NA,0.020990348340037927,2003-06-01
NA,NA,0.017441154022532157,2003-09-01
NA,NA,0.05298674950694778,2003-12-01
NA,NA,0.05702853702649221,2004-03-01
NA,NA,0.021806547749356305,2004-06-01
NA,NA,0.0234583542100541,2004-09-01
NA,NA,0.04819902440094812,2004-12-01
NA,NA,0.029914084948271177,2005-03-01
0.006799904936641621,0.01130082102770212,NA,2005-06-01
0.018302332044505043,0.015877280846286583,NA,2005-09-01
0.034078840168536795,0.02163947152140653,NA,2005-12-01
0.05710859587193173,0.042875201911882994,NA,2006-03-01
0.04093320840215231,0.04045072560418866,NA,2006-06-01
0.040900085388258844,0.032608212293224706,NA,2006-09-01
0.015621849666565879,0.01774212254331258,NA,2006-12-01
0.026229878325897626,0.028848519280273092,NA,2007-03-01
0.039647997718033956,0.03560907615458367,NA,2007-06-01
0.054418125286962216,0.04020274765770562,NA,2007-09-01
0.06510995015988996,0.06088535527520872,NA,2007-12-01
0.06885718479100622,0.06159232246838716,NA,2008-03-01
0.07331585949677022,0.06179265772880228,NA,2008-06-01
-0.003453881247019397,-0.009381065345852537,NA,2008-09-01
-0.046114218868255764,-0.0979848228840812,NA,2008-12-01
-0.14859722514271057,-0.1143135939223779,NA,2009-03-01
0.023446356662497392,0.014200224886369076,NA,2009-06-01
0.11086574335517274,0.07610341173303715,NA,2009-09-01
0.07847589507843433,0.06449269752128514,NA,2009-12-01
0.036369229612709386,0.028915003458875068,NA,2010-03-01
0.0203976034170521,0.016150507979325764,NA,2010-06-01
0.03871669938350042,0.032022844557073486,NA,2010-09-01
0.07306781500542936,0.059401744399433874,NA,2010-12-01
0.07365005092612686,0.06406736243570368,NA,2011-03-01
0.0474503487904443,0.048255786499862244,NA,2011-06-01
0.013708449784962662,0.013322840129846173,NA,2011-09-01
-0.021185368279540095,-0.01660060809183392,NA,2011-12-01
0.010530765409898724,0.01042594796856322,NA,2012-03-01
-0.00939752202302968,-0.004473039699290587,NA,2012-06-01
-0.005950662240135629,-0.0045374691450801325,NA,2012-09-01
0.007196616372636688,0.01363192331887466,NA,2012-12-01
0.016879777636424453,0.01875118852030617,NA,2013-03-01
7.114144896316343e-4,-0.006066617258170362,NA,2013-06-01
-0.0017124970917948845,0.002049921826443207,NA,2013-09-01
0.022054579376351358,0.019851401273947352,NA,2013-12-01
-0.006273409301103983,0.003926577978785074,NA,2014-03-01
0.006632727706191721,0.008499564384129504,NA,2014-06-01
0.0018993955997967937,-0.002187263539678271,NA,2014-09-01
-0.04256015869247709,-0.035278873836427214,NA,2014-12-01
-0.08861925519756442,-0.0667452806754755,NA,2015-03-01
-0.008118597365677105,-0.005881283315634497,NA,2015-06-01
-0.014078185573564217,-0.01750931742646488,NA,2015-09-01
-0.01786278736860525,-0.01885214288634162,NA,2015-12-01
-0.05418598857287804,-0.036419265819707364,NA,2016-03-01
0.052392426445827533,0.03580216047099816,NA,2016-06-01
0.0035293001257705736,0.006901670223002939,NA,2016-09-01
0.03771296766949628,0.023754605196979812,NA,2016-12-01
0.010810300215218449,0.022076464526347952,NA,2017-03-01
0.022030788673603086,0.02130410988248524,NA,2017-06-01
0.04560937728791048,0.03496473282658169,NA,2017-09-01
0.046681574496019174,0.03590054580526608,NA,2017-12-01
0.02239995536320394,0.03494197987233783,NA,2018-03-01
0.013194524874723168,0.010250084533963826,NA,2018-06-01
0.006564727500152356,0.0015977612621196242,NA,2018-09-01
-0.011555481459600392,-0.006709247789911664,NA,2018-12-01
-0.022364335868829688,-0.008508110806304639,NA,2019-03-01
-0.0046154568426044484,-0.002225343614547565,NA,2019-06-01
-0.003199227678116312,-0.003783032290171443,NA,2019-09-01
0.004808827086934198,0.0017110815004923677,NA,2019-12-01
NA,NA,-0.0035950815525711364,2020-03-01
NA,NA,-0.010601428204091068,2020-06-01
NA,NA,0.003254995369212829,2020-09-01
NA,NA,0.008653111471237707,2020-12-01
