y,in,out,date
NA,NA,0.03983986249406583,2002-03-01
NA,NA,0.04401970727203112,2002-06-01
NA,NA,0.040425304689006125,2002-09-01
NA,NA,0.016249364369486007,2002-12-01
NA,NA,0.05014909673322154,2003-03-01
NA,NA,0.020658502286062884,2003-06-01
NA,NA,0.017417122263361052,2003-09-01
NA,NA,0.05304707430920163,2003-12-01
NA,NA,0.05659806206086427,2004-03-01
NA,NA,0.021420814194508146,2004-06-01
NA,NA,0.023317782926093617,2004-09-01
NA,NA,0.048264964784985064,2004-12-01
NA,NA,0.029711232452504045,2005-03-01
0.006799904936641621,0.010813719093973969,NA,2005-06-01
0.018302332044505043,0.016486340728023238,NA,2005-09-01
0.034078840168536795,0.022735061745541837,NA,2005-12-01
0.05710859587193173,0.044668102619828176,NA,2006-03-01
0.04093320840215231,0.03908223653150298,NA,2006-06-01
0.040900085388258844,0.03389901752215882,NA,2006-09-01
0.015621849666565879,0.01713320282513824,NA,2006-12-01
0.026229878325897626,0.02845514426355132,NA,2007-03-01
0.039647997718033956,0.03537921286833129,NA,2007-06-01
0.054418125286962216,0.041936579912075236,NA,2007-09-01
0.06510995015988996,0.06086840669085854,NA,2007-12-01
0.06885718479100622,0.06140017539269885,NA,2008-03-01
0.07331585949677022,0.06375052449914911,NA,2008-06-01
-0.003453881247019397,-0.01217850392440527,NA,2008-09-01
-0.045795318887988566,-0.0869727256548665,NA,2008-12-01
-0.14859722514271057,-0.12126038092482877,NA,2009-03-01
0.023446356662497392,0.015296160555942816,NA,2009-06-01
0.11086574335517274,0.07923122792677402,NA,2009-09-01
0.07847589507843433,0.06485630420390669,NA,2009-12-01
0.036369229612709386,0.02972904070596221,NA,2010-03-01
0.0203976034170521,0.016574117140111578,NA,2010-06-01
0.03871669938350042,0.032299912382585574,NA,2010-09-01
0.07306781500542936,0.06027460325979025,NA,2010-12-01
0.07365005092612686,0.06468100560828495,NA,2011-03-01
0.0474503487904443,0.047357870055924706,NA,2011-06-01
0.013708449784962662,0.013528664726212546,NA,2011-09-01
-0.021185368279540095,-0.017332735063829277,NA,2011-12-01
0.010530765409898724,0.011122088030009462,NA,2012-03-01
-0.00939752202302968,-0.005191433679044304,NA,2012-06-01
-0.005950662240135629,-0.004135925082918523,NA,2012-09-01
0.007196616372636688,0.012969743803900109,NA,2012-12-01
0.016879777636424453,0.018129428131150878,NA,2013-03-01
7.114144896316343e-4,-0.004660956893076279,NA,2013-06-01
-0.0017124970917948845,7.87595444615815e-4,NA,2013-09-01
0.022054579376351358,0.0207572635993017,NA,2013-12-01
-0.006273409301103983,0.002189012707896119,NA,2014-03-01
0.006632727706191721,0.008345770551928776,NA,2014-06-01
0.0018993955997967937,-0.0016286268555015717,NA,2014-09-01
-0.04256015869247709,-0.035219932908756774,NA,2014-12-01
-0.08861925519756442,-0.06944650559015987,NA,2015-03-01
-0.008118597365677105,-0.0054563217995465905,NA,2015-06-01
-0.014078185573564217,-0.017606477397210003,NA,2015-09-01
-0.01786278736860525,-0.017212934802816125,NA,2015-12-01
-0.05418598857287804,-0.040188584112986016,NA,2016-03-01
0.052392426445827533,0.03966546577996622,NA,2016-06-01
0.0035293001257705736,0.004414955258927865,NA,2016-09-01
0.03771296766949628,0.027145344409523903,NA,2016-12-01
0.010810300215218449,0.01964444641562093,NA,2017-03-01
0.022030788673603086,0.02157081998902488,NA,2017-06-01
0.04560937728791048,0.03539168820439164,NA,2017-09-01
0.046681574496019174,0.037629680183104766,NA,2017-12-01
0.02239995536320394,0.03251055335854871,NA,2018-03-01
0.013194524874723168,0.01079742084278408,NA,2018-06-01
0.006564727500152356,0.002132418625532614,NA,2018-09-01
-0.011555481459600392,-0.006804373886293505,NA,2018-12-01
-0.022364335868829688,-0.010188041674724745,NA,2019-03-01
-0.0046154568426044484,-0.002045020316141068,NA,2019-06-01
-0.003199227678116312,-0.0034552241700448547,NA,2019-09-01
NA,NA,2.4503069264779007e-4,2019-12-01
NA,NA,0.00955262247571569,2020-03-01
NA,NA,0.01239001549751974,2020-06-01
NA,NA,0.013711249077558673,2020-09-01
