y,in,out,date
NA,NA,0.0385816186058684,2002-03-01
NA,NA,0.04388140520577503,2002-06-01
NA,NA,0.04011079246602045,2002-09-01
NA,NA,0.016166788765813168,2002-12-01
NA,NA,0.04986871746798495,2003-03-01
NA,NA,0.02052244626816449,2003-06-01
NA,NA,0.017268660536829277,2003-09-01
NA,NA,0.052766624002409904,2003-12-01
NA,NA,0.0563475023517696,2004-03-01
NA,NA,0.02109866076829691,2004-06-01
NA,NA,0.023231616132967668,2004-09-01
NA,NA,0.04798811052531718,2004-12-01
NA,NA,0.029620034686231502,2005-03-01
0.006799904936641621,0.01052897886729768,NA,2005-06-01
0.018302332044505043,0.016250715943337685,NA,2005-09-01
0.034078840168536795,0.02266010678787568,NA,2005-12-01
0.05710859587193173,0.04464796123263946,NA,2006-03-01
0.04093320840215231,0.03887872564522048,NA,2006-06-01
0.040900085388258844,0.03380844765737313,NA,2006-09-01
0.015621849666565879,0.016969005972843468,NA,2006-12-01
0.026229878325897626,0.028339682281479085,NA,2007-03-01
0.039647997718033956,0.03535440825906215,NA,2007-06-01
0.054418125286962216,0.04195453220071407,NA,2007-09-01
0.06510995015988996,0.06072135872010248,NA,2007-12-01
0.06885718479100622,0.06128026747283019,NA,2008-03-01
0.07331585949677022,0.06397609977613183,NA,2008-06-01
-0.003453881247019397,-0.012560621552642573,NA,2008-09-01
-0.046114218868255764,-0.08645145851160309,NA,2008-12-01
-0.14859722514271057,-0.1217515152206717,NA,2009-03-01
0.023446356662497392,0.015535253721601763,NA,2009-06-01
0.11086574335517274,0.07945833437007067,NA,2009-09-01
0.07847589507843433,0.06461941874169393,NA,2009-12-01
0.036369229612709386,0.029430021375819793,NA,2010-03-01
0.0203976034170521,0.016375632323205085,NA,2010-06-01
0.03871669938350042,0.03216623705641852,NA,2010-09-01
0.07306781500542936,0.06025351575915944,NA,2010-12-01
0.07365005092612686,0.06467578844788609,NA,2011-03-01
0.0474503487904443,0.04717314971910606,NA,2011-06-01
0.013708449784962662,0.013378160152647943,NA,2011-09-01
-0.021185368279540095,-0.017537179039209212,NA,2011-12-01
0.010530765409898724,0.011092674624470222,NA,2012-03-01
-0.00939752202302968,-0.005356608590631562,NA,2012-06-01
-0.005950662240135629,-0.004251225682366853,NA,2012-09-01
0.007196616372636688,0.01281614483329786,NA,2012-12-01
0.016879777636424453,0.01796721486403143,NA,2013-03-01
7.114144896316343e-4,-0.004708803278209739,NA,2013-06-01
-0.0017124970917948845,5.824139075188434e-4,NA,2013-09-01
0.022054579376351358,0.020734151127355698,NA,2013-12-01
-0.006273409301103983,0.0019422815449034667,NA,2014-03-01
0.006632727706191721,0.008125855217372805,NA,2014-06-01
0.0018993955997967937,-0.0017708222545623608,NA,2014-09-01
-0.04256015869247709,-0.03545434403014632,NA,2014-12-01
-0.08861925519756442,-0.06984775810272638,NA,2015-03-01
-0.008118597365677105,-0.005485794731634434,NA,2015-06-01
-0.014078185573564217,-0.017660411109769028,NA,2015-09-01
-0.01786278736860525,-0.017213807082042475,NA,2015-12-01
-0.05418598857287804,-0.040634179052509274,NA,2016-03-01
0.052392426445827533,0.039868830744588406,NA,2016-06-01
0.0035293001257705736,0.004159820816490259,NA,2016-09-01
0.03771296766949628,0.02723728282826228,NA,2016-12-01
0.010810300215218449,0.019327163493649033,NA,2017-03-01
0.022030788673603086,0.021438280213967455,NA,2017-06-01
0.04560937728791048,0.03534704801899811,NA,2017-09-01
0.046681574496019174,0.03775974518861534,NA,2017-12-01
0.02239995536320394,0.03223039430616018,NA,2018-03-01
0.013194524874723168,0.010647793860488187,NA,2018-06-01
0.006564727500152356,0.0020781430947600706,NA,2018-09-01
-0.011555481459600392,-0.006939766065454151,NA,2018-12-01
-0.022364335868829688,-0.010466884093417882,NA,2019-03-01
-0.0046154568426044484,-0.0020703898424896897,NA,2019-06-01
-0.003199227678116312,-0.003946995377939246,NA,2019-09-01
0.004808827086934198,0.002574852864127104,NA,2019-12-01
NA,NA,0.012992534945439607,2020-03-01
NA,NA,0.01333682325072252,2020-06-01
NA,NA,0.014428661007029978,2020-09-01
NA,NA,0.014810043608178194,2020-12-01
