y,in,out,date
NA,NA,0.033948987885208934,2002-03-01
NA,NA,0.04472382010994122,2002-06-01
NA,NA,0.04063285990699532,2002-09-01
NA,NA,0.017133682116678876,2002-12-01
NA,NA,0.05207580503019566,2003-03-01
NA,NA,0.02199901499792483,2003-06-01
NA,NA,0.017739439716124253,2003-09-01
NA,NA,0.05187582451315449,2003-12-01
NA,NA,0.05678205430059084,2004-03-01
NA,NA,0.02221150926548039,2004-06-01
NA,NA,0.024806881423558982,2004-09-01
NA,NA,0.048785628499099516,2004-12-01
NA,NA,0.03091873146628976,2005-03-01
0.006799904936641621,0.01192124430792926,NA,2005-06-01
0.018302332044505043,0.015183013259347393,NA,2005-09-01
0.034078840168536795,0.021758264012070934,NA,2005-12-01
0.05710859587193173,0.04461190798511487,NA,2006-03-01
0.04093320840215231,0.04426848671668783,NA,2006-06-01
0.040900085388258844,0.03138425967756266,NA,2006-09-01
0.015621849666565879,0.02081477442647061,NA,2006-12-01
0.026229878325897626,0.02867375010116916,NA,2007-03-01
0.039647997718033956,0.03515398087025795,NA,2007-06-01
0.054418125286962216,0.04038084178732397,NA,2007-09-01
0.06510995015988996,0.0648853060847277,NA,2007-12-01
0.06885718479100622,0.06220643347377889,NA,2008-03-01
0.07331585949677022,0.06297881295094572,NA,2008-06-01
-0.003453881247019397,-0.0037745002811306987,NA,2008-09-01
-0.04458292478174164,-0.10003271374302472,NA,2008-12-01
-0.14859722514271057,-0.09263837181658327,NA,2009-03-01
0.023446356662497392,-0.003235574574816248,NA,2009-06-01
0.11086574335517274,0.07922982925569841,NA,2009-09-01
0.07847589507843433,0.0716382920903736,NA,2009-12-01
0.036369229612709386,0.02960344174395209,NA,2010-03-01
0.0203976034170521,0.017095942087556607,NA,2010-06-01
0.03871669938350042,0.03273872609152968,NA,2010-09-01
0.07306781500542936,0.059542477400307686,NA,2010-12-01
0.07365005092612686,0.06702394007186904,NA,2011-03-01
0.0474503487904443,0.05127605529530081,NA,2011-06-01
0.013708449784962662,0.011926930463871605,NA,2011-09-01
-0.021185368279540095,-0.014822799089276258,NA,2011-12-01
0.010530765409898724,0.009254835257612568,NA,2012-03-01
-0.00939752202302968,-0.0025639249213655207,NA,2012-06-01
-0.005950662240135629,-0.005410947805469336,NA,2012-09-01
0.007196616372636688,0.015150209828128768,NA,2012-12-01
0.016879777636424453,0.017247946161339258,NA,2013-03-01
7.114144896316343e-4,-0.006352185933388137,NA,2013-06-01
-0.0017124970917948845,0.005162351308575631,NA,2013-09-01
0.022054579376351358,0.01753675104511176,NA,2013-12-01
-0.006273409301103983,0.006886400539127769,NA,2014-03-01
0.006632727706191721,0.00537468204109545,NA,2014-06-01
0.0018993955997967937,-0.0021406421016578747,NA,2014-09-01
-0.04256015869247709,-0.033651370725938816,NA,2014-12-01
-0.08861925519756442,-0.06702474657810356,NA,2015-03-01
-0.008118597365677105,-0.011545589351925695,NA,2015-06-01
-0.014078185573564217,-0.0163355480443979,NA,2015-09-01
-0.01786278736860525,-0.018118407164603625,NA,2015-12-01
-0.05418598857287804,-0.03295337916125305,NA,2016-03-01
0.052392426445827533,0.0283043766418358,NA,2016-06-01
0.0035293001257705736,0.01559092756116474,NA,2016-09-01
0.03771296766949628,0.019063331844602096,NA,2016-12-01
0.010810300215218449,0.02906907220233404,NA,2017-03-01
0.022030788673603086,0.016669520198080087,NA,2017-06-01
0.04560937728791048,0.036179392310688056,NA,2017-09-01
0.046681574496019174,0.038043503214089947,NA,2017-12-01
0.02239995536320394,0.03993207644127235,NA,2018-03-01
0.013194524874723168,0.004955403051210488,NA,2018-06-01
NA,NA,2.5351838277738736e-4,2018-09-01
NA,NA,0.009617660134856699,2018-12-01
NA,NA,0.013742760601365863,2019-03-01
NA,NA,0.015529732349537162,2019-06-01
