y,in,out,date
NA,NA,0.03726914006908179,2002-03-01
NA,NA,0.04418130861738685,2002-06-01
NA,NA,0.04053156209714922,2002-09-01
NA,NA,0.016202787275390942,2002-12-01
NA,NA,0.050514306136223666,2003-03-01
NA,NA,0.020566888487774534,2003-06-01
NA,NA,0.01679280292398623,2003-09-01
NA,NA,0.052926645790564573,2003-12-01
NA,NA,0.056600404721674415,2004-03-01
NA,NA,0.020856488446575075,2004-06-01
NA,NA,0.023732276240265276,2004-09-01
NA,NA,0.048450202376313256,2004-12-01
NA,NA,0.030010594509988275,2005-03-01
0.006799904936641621,0.010999206650633472,NA,2005-06-01
0.018302332044505043,0.016302855381839773,NA,2005-09-01
0.034078840168536795,0.02202060212864822,NA,2005-12-01
0.05710859587193173,0.04386189558377794,NA,2006-03-01
0.04093320840215231,0.03940880202156617,NA,2006-06-01
0.040900085388258844,0.03261376963291788,NA,2006-09-01
0.015621849666565879,0.017078843168042486,NA,2006-12-01
0.026229878325897626,0.02851038797386153,NA,2007-03-01
0.039647997718033956,0.03539407135512469,NA,2007-06-01
0.054418125286962216,0.0409607422617677,NA,2007-09-01
0.06510995015988996,0.061049846687997046,NA,2007-12-01
0.06885718479100622,0.061292117982393375,NA,2008-03-01
0.07331585949677022,0.06250292000767176,NA,2008-06-01
-0.003453881247019397,-0.011429773576817818,NA,2008-09-01
-0.046114218868255764,-0.09268985211265386,NA,2008-12-01
-0.14859722514271057,-0.11827416838284426,NA,2009-03-01
0.023446356662497392,0.013888656432652339,NA,2009-06-01
0.11086574335517274,0.07699305988159673,NA,2009-09-01
0.07847589507843433,0.06443267427604941,NA,2009-12-01
0.036369229612709386,0.028989418773791895,NA,2010-03-01
0.0203976034170521,0.01636065249035119,NA,2010-06-01
0.03871669938350042,0.03225090148409349,NA,2010-09-01
0.07306781500542936,0.05955456248982825,NA,2010-12-01
0.07365005092612686,0.06427108328239431,NA,2011-03-01
0.0474503487904443,0.04785350684314782,NA,2011-06-01
0.013708449784962662,0.013334866891571743,NA,2011-09-01
-0.021185368279540095,-0.016665194032036285,NA,2011-12-01
0.010530765409898724,0.011225796444155108,NA,2012-03-01
-0.00939752202302968,-0.004725274310504542,NA,2012-06-01
-0.005950662240135629,-0.004337705066884348,NA,2012-09-01
0.007196616372636688,0.013187426115822949,NA,2012-12-01
0.016879777636424453,0.01832479468107656,NA,2013-03-01
7.114144896316343e-4,-0.005280260625689556,NA,2013-06-01
-0.0017124970917948845,0.0013373617056219901,NA,2013-09-01
0.022054579376351358,0.020182298739646876,NA,2013-12-01
-0.006273409301103983,0.0029627653037944592,NA,2014-03-01
0.006632727706191721,0.008339049518573456,NA,2014-06-01
0.0018993955997967937,-0.002133911437579737,NA,2014-09-01
-0.04256015869247709,-0.035605757739691817,NA,2014-12-01
-0.08861925519756442,-0.06828019095099512,NA,2015-03-01
-0.008118597365677105,-0.005749868348980084,NA,2015-06-01
-0.014078185573564217,-0.017978728210604873,NA,2015-09-01
-0.01786278736860525,-0.018006786015428912,NA,2015-12-01
-0.05418598857287804,-0.038356082025023865,NA,2016-03-01
0.052392426445827533,0.037911437452831924,NA,2016-06-01
0.0035293001257705736,0.005504479590531963,NA,2016-09-01
0.03771296766949628,0.025515579504714135,NA,2016-12-01
0.010810300215218449,0.020895359053743578,NA,2017-03-01
0.022030788673603086,0.021312130962612277,NA,2017-06-01
0.04560937728791048,0.035119917062094025,NA,2017-09-01
0.046681574496019174,0.036655999282441155,NA,2017-12-01
0.02239995536320394,0.0338414681938688,NA,2018-03-01
0.013194524874723168,0.010141577269276888,NA,2018-06-01
0.006564727500152356,0.0019491524926738765,NA,2018-09-01
-0.011555481459600392,-0.006473303563640847,NA,2018-12-01
-0.022364335868829688,-0.008957087224146081,NA,2019-03-01
-0.0046154568426044484,-0.0020569451865450703,NA,2019-06-01
-0.003199227678116312,-0.003976924993610473,NA,2019-09-01
0.004808827086934198,0.0021049738394397464,NA,2019-12-01
NA,NA,0.0012454586771561364,2020-03-01
NA,NA,0.003447572856241539,2020-06-01
NA,NA,0.009432577564755639,2020-09-01
NA,NA,0.012248300420551857,2020-12-01
