y,in,out,date
NA,NA,0.014670849410250207,2002-03-01
NA,NA,0.01533948154506127,2002-06-01
NA,NA,0.014680139645328431,2002-09-01
NA,NA,0.010214728186640367,2002-12-01
NA,NA,0.012990438790564286,2003-03-01
NA,NA,0.009585466851403783,2003-06-01
NA,NA,0.014121966397071514,2003-09-01
NA,NA,0.019801545057455225,2003-12-01
NA,NA,0.015340626526809594,2004-03-01
NA,NA,0.015774874038398834,2004-06-01
NA,NA,0.011814091295029439,2004-09-01
NA,NA,0.015032427333957302,2004-12-01
NA,NA,0.01285802922284496,2005-03-01
0.03211533498155417,0.02102124195171886,NA,2005-06-01
0.020060035015408317,0.018809746853259375,NA,2005-09-01
0.02476125508850835,0.01909976412705404,NA,2005-12-01
0.028563064925676063,0.021381749323072553,NA,2006-03-01
0.01537327542532907,0.01745117725692437,NA,2006-06-01
0.01167506033095389,0.01259830651786481,NA,2006-09-01
0.017576942700965548,0.01577847581625271,NA,2006-12-01
0.01641209047178016,0.015455751068440009,NA,2007-03-01
0.010995475615664496,0.012984377118473573,NA,2007-06-01
0.016971244543252606,0.013778854276859334,NA,2007-09-01
0.01504642863457839,0.01552471345415095,NA,2007-12-01
0.013596174511335768,0.013938985608470438,NA,2008-03-01
0.00222776112060874,0.005710986543313679,NA,2008-06-01
0.013022840927693125,0.00447336720296161,NA,2008-09-01
0.011671264053007372,-0.004877494722381434,NA,2008-12-01
0.010043255621401107,0.0023648426573570393,NA,2009-03-01
0.00813881563287433,0.01028296741655254,NA,2009-06-01
0.06624507475551122,0.035814577865035654,NA,2009-09-01
0.033258544896653586,0.0339103977351927,NA,2009-12-01
0.030835728679962315,0.021531014279540538,NA,2010-03-01
0.03878409559983065,0.029246159696069265,NA,2010-06-01
0.02417999390829184,0.020426876859168303,NA,2010-09-01
0.02060348748288865,0.01957005372272221,NA,2010-12-01
0.007971819926717583,0.013679654795953348,NA,2011-03-01
0.008737361126877063,0.008766533067437729,NA,2011-06-01
0.01743147024810421,0.015344420934447352,NA,2011-09-01
-0.008548934355141813,0.0029440884449130136,NA,2011-12-01
0.012164455304805921,0.00788951822503911,NA,2012-03-01
0.009512429441231651,0.011916562113989101,NA,2012-06-01
-0.008755886628851295,0.002583702283594695,NA,2012-09-01
-0.002149236006913746,7.432364021083583e-4,NA,2012-12-01
0.017265889012001212,0.012968774036142763,NA,2013-03-01
0.008957144819684348,0.011036726962616936,NA,2013-06-01
0.0052303716566519665,0.00889445451743543,NA,2013-09-01
0.005399049062313033,0.010422859422655896,NA,2013-12-01
-0.004234527654467635,0.003750688045868058,NA,2014-03-01
0.016151175236026827,0.008597718060718827,NA,2014-06-01
0.019130989775499208,0.016217488617101965,NA,2014-09-01
0.006716860518024115,0.010528037398104931,NA,2014-12-01
-0.003160840577571933,0.0059500588771627255,NA,2015-03-01
-0.004091509323762232,0.004544382405779894,NA,2015-06-01
0.012509349073044351,0.0069735629429661114,NA,2015-09-01
0.008632759798555156,0.011437248969324621,NA,2015-12-01
-0.0073202745990462725,0.0020891011107244586,NA,2016-03-01
0.008793761873002959,0.007662080354527684,NA,2016-06-01
-0.00113140115881194,0.006966812964841186,NA,2016-09-01
0.012668813642818577,0.010488210401971145,NA,2016-12-01
0.020445083507453665,0.016293571753845198,NA,2017-03-01
0.013221301705195865,0.014609617125318641,NA,2017-06-01
0.003633701619925045,0.009409668629055654,NA,2017-09-01
0.012410092371598624,0.011230362188582855,NA,2017-12-01
0.01546685540939352,0.013212039020411768,NA,2018-03-01
-0.0016753912609711596,0.008849670161584116,NA,2018-06-01
0.006284787532838454,0.005364211649659772,NA,2018-09-01
0.0029462937078528206,0.007868909913485501,NA,2018-12-01
-0.006945047123976589,0.001622022272304324,NA,2019-03-01
0.0030773461511870437,0.003462069679229657,NA,2019-06-01
0.003300093095781831,0.007643878636235648,NA,2019-09-01
-0.0033285896477233123,0.0026069890334988344,NA,2019-12-01
NA,NA,0.005562005868728864,2020-03-01
NA,NA,0.00848663166957435,2020-06-01
NA,NA,0.011548140725112854,2020-09-01
NA,NA,0.011672988507065924,2020-12-01
NA,NA,0.011675738567034978,2021-03-01
NA,NA,0.011675844326429943,2021-06-01
