date,me,mi,se,si
2018-12-01,1845266,1861968,207118,201937
2019-01-01,1907216,1978143,187952,194496
2019-02-01,1776227,1786060,178839,177252
2019-03-01,2030636,2004363,198767,194625
2019-04-01,1921627,1965415,193766,197053
2019-05-01,2007210,2013229,198438,193126
2019-06-01,1903539,1880211,197775,189683
2019-07-01,1992311,2017699,207986,205292
2019-08-01,1817976,1855245,203477,202595
2019-09-01,1935915,1940035,198373,193010
2019-10-01,2058223,2050384,196676,192705
2019-11-01,1956174,1944896,195781,186594
2019-12-01,1891421,1875613,217226,208165
2020-01-01,1638577,1726108,164445,147266
2020-02-01,1891292,1869140,195027,204904
2020-03-01,1814710,1785710,163586,156545
